TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
37,13,19,19,62,0,1,2205,12,TT,O,,2022,0,21.44097363,21.44097363,21.44097363,6032.5,7969.6,68.55113636,90.56363636,2025,90.1,52.7,66.01,78.23,86.06,77.30714286,52.7,66.01,79.52222222,87.45
36,16,3,19,78,0,0,2205,13,TT,O,,2022,0,21.52430693,21.52430693,21.52430693,6933.6,8288.6,78.79090909,94.18863636,2154,90.1,55.925,116.08,90.1,84.47,89.48571429,54.81666667,116.08,93.52777778,86.27142857
21,25,11,18,71,2,1,2205,25,TT,O,,2022,0,19.86253911,19.86253911,19.86253911,7260.7,7247.1,82.50795455,82.35340909,1655,90.1,40.3625,86.22,69.455,62.60666667,89.34285714,40.3625,86.22,70.08333333,62.52142857
18,32,12,20,68,0,1,2205,27,TT,O,,2022,0,23.22913585,23.22913585,23.22913585,7785.8,6927.7,87.48089888,77.83932584,1971,90.1,47.9375,92.96,90.11,80.93,81.51034483,47.9375,92.96,91.43684211,81.48275862
51,4,4,16,80,0,0,2205,28,TT,O,,2022,0,17.80478452,17.80478452,17.80478452,5803.4,9518.3,65.94772727,108.1625,1491,90.1,60.325,84.2,78.32,74.61,96.48928571,60.325,84.2,80.28333333,75.60714286
24,29,4,13,83,0,0,2205,32,TT,O,,2022,0,21.16871586,21.16871586,21.16871586,7663.5,7494.5,87.08522727,85.16477273,2239,90.1,64.6625,70.77,86.2,82.83333333,84.01785714,64.6625,70.77,86.97222222,83.08928571
19,33,22,11,67,0,0,2205,33,TT,O,,2022,0,16.76964392,16.76964392,16.76964392,7505.1,6464.3,85.28522727,73.45795455,2001,90.1,54.9875,69.49,83.405,75.21333333,71.28928571,54.9875,69.49,84.5,75.33214286
33,23,13,11,76,1,0,2205,34,TT,O,,2022,0,19.80463513,19.80463513,19.80463513,5878.1,6802.1,75.36025641,87.20641026,1481,80.6,56.5125,105.02,82.1,94.23,76.275,54.94285714,105.02,83.75,96.15714286
37,15,13,27,60,2,0,2205,35,TT,O,,2022,0,23.13729775,23.13729775,23.13729775,6211.6,8083.6,69.79325843,90.82696629,2115,90.1,56.2625,104.63,88.32,82.06666667,89.87931034,56.2625,104.63,89.68947368,82.74827586
26,26,22,34,44,1,1,2205,10,TT,O,,2022,1,24.67943378,24.7198957,24.47712418,5135.94,5361.72,68.68648984,85.74754007,1643,66.42,46.45,94.83,75.1,71.68,74.66896552,46.45,94.83,75.57894737,71.87586207
