AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,2205,10,,2022,46.45,94.83,75.1,71.68,46.45,94.83,75.57894737,71.87586207,1.22,1.23,1.34,1.26,19.275,21.19,31.545,38.45666667,19.275,21.19,30.48421053,38,1.47,1.42,1.57,1.43,56.35,60.89,78.17,76.21333333,56.35,60.89,71.37647059,71.71851852,1.52,1.42,1.57,1.43,45.3625,70.79,71.31,65.35666667,45.3625,70.79,72.02105263,65.61724138,46.45,23.48242572,83.09989805,69.09327225,94.83,26.00376056,86.7398974,100.8427876,75.1,42.34379884,123.1005402,112.2975505,71.68,48.43651457,108.8593941,93.35226294,46.45,23.48242572,83.09989805,69.09327225,94.83,26.00376056,86.7398974,100.8427876,75.57894737,40.91986934,112.402227,113.4173018,71.87586207,47.86133883,102.4392207,93.7244551,222.125596,308.4164455,352.8418895,322.3281716,175.675596,213.5864455,277.7418895,250.6481716,222.125596,308.4164455,342.3183456,315.9008767,175.675596,213.5864455,266.7393982,244.0250146
O,1,1,1,1,2205,12,,2022,55.275,71.64,81.6,82.52,55.275,71.64,83.36666667,83.72142857,1.22,1.23,1.34,1.26,38.5875,46.06,69.885,71.58666667,38.5875,46.06,70.15263158,71.82068966,1.47,1.42,1.57,1.43,32.525,39.24,48.945,69.44333333,32.525,39.24,42.69375,68.75,1.52,1.42,1.57,1.43,20.6,80.12,79.195,61.31666667,20.6,80.12,80.55263158,61.58965517,55.275,47.0105371,47.96493672,31.37660862,71.64,56.52351162,55.89872843,114.1336932,81.6,93.80872981,77.07759934,124.7146895,82.52,90.16404498,99.18945753,87.58172473,55.275,47.0105371,47.96493672,31.37660862,71.64,56.52351162,55.89872843,114.1336932,83.36666667,94.1679797,67.23325685,126.8526604,83.72142857,90.45879902,98.19913414,87.97164815,181.6270824,298.1959333,377.2010187,359.4552272,126.3520824,226.5559333,295.6010187,276.9352272,181.6270824,298.1959333,371.6205636,360.3510099,126.3520824,226.5559333,288.2538969,276.6295813
O,1,1,1,1,2205,13,,2022,24.625,74.22,53.715,50.36333333,24.625,74.22,53.17222222,49.775,1.22,1.23,1.34,1.26,37.2375,48.3,45.6,45.88333333,37.2375,48.3,45.03684211,45.52413793,1.47,1.42,1.57,1.43,33.45,63.08,63.315,78.19666667,33.45,63.08,55.80625,75.86538462,1.52,1.42,1.57,1.43,39.9875,37.11,48.77,60,39.9875,37.11,47.76842105,59.73103448,24.625,45.36585358,49.3290433,60.90641442,74.22,59.27237541,89.85962765,52.86447023,53.715,61.21024654,99.70718566,76.80201287,50.36333333,57.79046746,111.6922903,85.70106252,24.625,45.36585358,49.3290433,60.90641442,74.22,59.27237541,89.85962765,52.86447023,53.17222222,60.45430282,87.88255753,75.22474653,49.775,57.33805765,108.3624012,85.31688535,180.2263113,276.2164733,291.4344451,305.5471536,155.6013113,201.9964733,237.7194451,255.1838203,180.2263113,276.2164733,276.7338291,300.7923442,155.6013113,201.9964733,223.5616069,251.0173442
O,1,1,1,1,2205,25,,2022,48.225,53.57,63.215,68.70333333,48.225,53.57,63.08421053,68.80689655,1.22,1.23,1.34,1.26,28.425,47.28,41.09,41.63666667,28.425,47.28,38.92777778,40.28571429,1.47,1.42,1.57,1.43,17.9,26.17,38.38,41.36,17.9,26.17,24.28666667,33.5,1.52,1.42,1.57,1.43,12.1875,13.22,23.235,22.99666667,12.1875,13.22,18.94705882,20.27037037,48.225,34.62972509,26.39730568,18.56322415,53.57,58.02066065,37.28006429,18.83234429,63.215,55.15633838,60.44005031,36.59000962,68.70333333,52.44175292,59.0765991,32.8473128,48.225,34.62972509,26.39730568,18.56322415,53.57,58.02066065,37.28006429,18.83234429,63.08421053,52.2539227,38.24615308,29.83744629,68.80689655,50.74021636,47.84975991,28.95320464,127.8152549,167.7030692,215.4013983,213.0689982,79.59025493,114.1330692,152.1863983,144.3656648,127.8152549,167.7030692,183.4217326,196.3500775,79.59025493,114.1330692,120.3375221,127.5431809
O,1,1,1,1,2205,27,,2022,47.25,65.57,62.32,60.97333333,47.25,65.57,62.21578947,60.85862069,1.22,1.23,1.34,1.26,26.9625,41.17,35.51,38.09,26.9625,41.17,34.66315789,37.62413793,1.47,1.42,1.57,1.43,29,39.97,56.735,72.36333333,29,39.97,45.75625,68.01153846,1.52,1.42,1.57,1.43,37.0625,88.48,68.86,59.07666667,37.0625,88.48,69.11052632,58.90344828,47.25,32.84798462,42.76658462,56.45124062,65.57,50.5226438,56.93863851,126.0428005,62.32,47.66613716,89.3451343,108.4393399,60.97333333,47.97469463,103.3602426,84.38221839,47.25,32.84798462,42.76658462,56.45124062,65.57,50.5226438,56.93863851,126.0428005,62.21578947,46.52939563,72.05602012,108.8338637,60.85862069,47.3879372,97.14435183,84.13480173,179.3158099,299.0740828,307.7706113,296.6904889,132.0658099,233.5040828,245.4506113,235.7171556,179.3158099,299.0740828,289.6350689,289.5257115,132.0658099,233.5040828,227.4192794,228.6670908
O,1,1,1,1,2205,28,,2022,23.6125,57.95,45.635,43.92,23.6125,57.95,43.91666667,42.69285714,1.22,1.23,1.34,1.26,29.7875,56.01,49.69,66.59666667,29.7875,56.01,48.97368421,66.71034483,1.47,1.42,1.57,1.43,26.3,48.88,53.885,45.81666667,26.3,48.88,47.325,40.53846154,1.52,1.42,1.57,1.43,21.5875,28.91,30.45,32.92333333,21.5875,28.91,28.72631579,31.87931034,23.6125,36.28963716,38.78486812,32.88070575,57.95,68.73386639,69.63123969,41.18328845,45.635,66.70037611,84.85701175,47.95204617,43.92,83.87909548,65.44228358,47.02607747,23.6125,36.28963716,38.78486812,32.88070575,57.95,68.73386639,69.63123969,41.18328845,43.91666667,65.73884396,74.526456,45.23762302,42.69285714,84.02227414,57.90315378,45.53484615,131.567711,237.4983945,245.144434,240.2674565,107.955211,179.5483945,199.509434,196.3474565,131.567711,237.4983945,229.4195896,230.1531312,107.955211,179.5483945,185.502923,187.4602741
O,1,1,1,1,2205,32,,2022,44.875,101.25,75.215,67.41666667,43.01666667,101.25,77.96666667,68.62857143,1.22,1.23,1.34,1.26,44.8875,73.98,85.43,75.30666667,44.8875,73.98,88.77222222,76.73214286,1.47,1.42,1.57,1.43,51.75,68.53,65.57,67.18333333,51.61428571,68.53,62.64375,65.63076923,1.52,1.42,1.57,1.43,25.75,37.76,38.72,36.54,25.75,37.76,37.04444444,35.30714286,44.875,54.68572683,76.3162329,39.22076077,101.25,90.78613525,97.62333993,53.79041757,75.215,114.6752492,103.2583142,60.97547546,67.41666667,94.84941815,95.96138418,52.19194708,43.01666667,54.68572683,76.11609372,39.22076077,101.25,90.78613525,97.62333993,53.79041757,77.96666667,119.1616142,98.65011469,58.33684435,68.62857143,96.64481812,93.74377762,50.43099429,215.0977205,343.4498928,354.1240388,310.4194161,170.2227205,242.1998928,278.9090388,243.0027494,213.039248,343.4498928,354.1152399,309.4481615,170.0225813,242.1998928,276.1485732,240.81959
O,1,1,1,1,2205,33,,2022,58.1125,69.23,79.355,88.09333333,58.1125,69.23,79.92631579,88.76896552,1.22,1.23,1.34,1.26,35.05,43.03,49.22,62.06666667,35.05,43.03,48.55555556,62.55714286,1.47,1.42,1.57,1.43,34.6125,40.26,57.535,65.58666667,34.6125,40.26,47.0375,60.36538462,1.52,1.42,1.57,1.43,29.575,73.49,54.6,55.27333333,29.575,73.49,54.15263158,55.00344828,58.1125,42.70085715,51.04339346,45.04675727,69.23,52.80518248,57.35175348,104.6890304,79.355,66.06948102,90.60495818,85.98297934,88.09333333,78.17352009,93.68078368,78.94972326,58.1125,42.70085715,51.04339346,45.04675727,69.23,52.80518248,57.35175348,104.6890304,79.92631579,65.17757733,74.07370679,85.27847257,88.76896552,78.79127923,86.22296002,78.56423266,196.9035079,284.0759663,322.0124185,338.8973604,138.7910079,214.8459663,242.6574185,250.804027,196.9035079,284.0759663,304.4560725,332.3474374,138.7910079,214.8459663,224.5297567,243.5784719
O,1,1,1,1,2205,34,,2022,15.0875,15.69,29.68,38.28333333,15.0875,15.69,26.53888889,36.87857143,1.22,1.23,1.34,1.26,23.55,65.5,54.265,45.94666667,23.55,65.5,53.88421053,45.41034483,1.47,1.42,1.57,1.43,26.75,65.34,67.275,53.57333333,26.75,65.34,62.7,48.65,1.52,1.42,1.57,1.43,18.1875,32.76,37.745,33.36,18.1875,32.76,34.85,31.18571429,15.0875,28.69059018,39.44848754,27.7020422,15.69,80.37972234,93.07907531,46.66774575,29.68,72.84153571,105.9433138,59.44006511,38.28333333,57.87023636,76.52152649,47.64979076,15.0875,28.69059018,39.44848754,27.7020422,15.69,80.37972234,93.07907531,46.66774575,26.53888889,72.33039059,98.73869606,54.88107747,36.87857143,57.19473422,69.4892782,44.5441475,110.9286199,235.8165434,267.9049147,220.3248869,95.84111992,220.1265434,238.2249147,182.0415536,110.9286199,235.8165434,252.489053,208.1067313,95.84111992,220.1265434,225.9501641,171.2281599
O,1,1,1,1,2205,35,,2022,27.45,30.52,36.045,37.51,27.45,30.52,35.02631579,36.89310345,1.22,1.23,1.34,1.26,33.5125,59.83,48.99,54.67666667,33.5125,59.83,49.23684211,55.03448276,1.47,1.42,1.57,1.43,39.325,41.52,53.01,53.44666667,39.325,41.52,42.55625,47.08076923,1.52,1.42,1.57,1.43,17.5875,17.4,26.13,38.11333333,17.5875,17.4,24.8,37.65517241,27.45,40.82774537,57.99296346,26.78816039,30.52,73.42166088,59.14666677,24.78689793,36.045,65.76074513,83.47907939,41.14899726,37.51,68.8657492,76.34060203,54.43921938,27.45,40.82774537,57.99296346,26.78816039,30.52,73.42166088,59.14666677,24.78689793,35.02631579,66.09208868,67.01672463,39.05454007,36.89310345,69.31642176,67.24786579,53.78480476,153.0588692,187.8752256,226.4338218,237.1555706,125.6088692,157.3552256,190.3888218,199.6455706,153.0588692,187.8752256,207.1896692,227.2421958,125.6088692,157.3552256,172.1633534,190.3490923
