"AGE","MULT08B1","MULT10B1","MULT20B1","MULT30B1","GROUP","NUMBER","SLGROUP","YEAR","TAV08B1","TAV10B1","TAV20B1","TAV30B1","TAV08AB1","TAV10AB1","TAV20AB1","TAV30AB1","MULT08B2","MULT10B2","MULT20B2","MULT30B2","TAV08B2","TAV10B2","TAV20B2","TAV30B2","TAV08AB2","TAV10AB2","TAV20AB2","TAV30AB2","MULT08B3","MULT10B3","MULT20B3","MULT30B3","TAV08B3","TAV10B3","TAV20B3","TAV30B3","TAV08AB3","TAV10AB3","TAV20AB3","TAV30AB3","MULT08B4","MULT10B4","MULT20B4","MULT30B4","TAV08B4","TAV10B4","TAV20B4","TAV30B4","TAV08AB4","TAV10AB4","TAV20AB4","TAV30AB4","IDX08B1","IDX08B2","IDX08B3","IDX08B4","IDX10B1","IDX10B2","IDX10B3","IDX10B4","IDX20B1","IDX20B2","IDX20B3","IDX20B4","IDX30B1","IDX30B2","IDX30B3","IDX30B4","IDX08AB1","IDX08AB2","IDX08AB3","IDX08AB4","IDX10AB1","IDX10AB2","IDX10AB3","IDX10AB4","IDX20AB1","IDX20AB2","IDX20AB3","IDX20AB4","IDX30AB1","IDX30AB2","IDX30AB3","IDX30AB4","IDX08_4","IDX10_4","IDX20_4","IDX30_4","IDX08_3","IDX10_3","IDX20_3","IDX30_3","IDX08A_4","IDX10A_4","IDX20A_4","IDX30A_4","IDX08A_3","IDX10A_3","IDX20A_3","IDX30A_3"
"O","1.00","1.00","1.00","1.00","2207",50,"",2022,26.025,35.91,62.95,58.4966666666667,26.025,35.91,48.8266666666667,49.132,"1.22","1.23","1.34","1.26",53.7375,59.53,69.69,67.66,53.7375,59.53,70.1631578947368,67.9,"1.47","1.42","1.57","1.43",29.9375,36.44,70.195,76.6233333333333,29.9375,36.44,61.84375,72.4730769230769,"1.52","1.42","1.57","1.43",25.475,67.3,64.3,64.6633333333333,25.475,67.3,57.6411764705882,60.5111111111111,26.025,65.4675409735331,44.1491250738801,38.8018982776503,35.91,73.0535094806364,51.9100322076826,95.8711626667684,62.95,93.5469754661147,110.541670968353,101.258343803193,58.4966666666667,85.2183732984706,109.44501801294,92.3619395498769,26.025,65.4675409735331,44.1491250738801,38.8018982776503,35.91,73.0535094806364,51.9100322076826,95.8711626667684,48.8266666666667,94.1821094877899,97.3902908177093,90.7721627415137,49.132,85.5206554384593,103.516994944525,86.4311086118923,174.443564325064,256.744704355087,368.296990237661,345.521997527954,148.418564325064,220.834704355087,305.346990237661,287.025330861287,174.443564325064,256.744704355087,331.17122971368,324.600758994877,148.418564325064,220.834704355087,282.344563047013,275.468758994877
"O","1.00","1.00","1.00","1.00","2207",51,"",2022,43.5,86.38,75.96,66.8033333333333,42.3666666666667,86.38,76.5733333333333,65.34,"1.22","1.23","1.34","1.26",15.5,32.21,47.975,37.9866666666667,15.5,32.21,46.6277777777778,36.4071428571429,"1.47","1.42","1.57","1.43",20.0125,25.79,34.595,30.63,11.8,25.79,24.7928571428571,23.9208333333333,"1.52","1.42","1.57","1.43",20.05,38.41,42.735,47.8933333333333,20.05,38.41,34.44,43.948,43.5,18.8834033047642,29.5126301642096,30.538883629711,86.38,39.5271886506181,36.7387412358983,54.7163649038718,75.96,64.3982802121804,54.479508613864,67.2982165230085,66.8033333333333,47.8445453793167,43.7503924183627,68.4084925744951,42.3666666666667,18.8834033047642,17.4015758120012,30.538883629711,86.38,39.5271886506181,36.7387412358983,54.7163649038718,76.5733333333333,62.5898634498095,39.0432916397337,54.2354177384442,65.34,45.8551210572088,34.167347218661,62.7731715965461,122.434917098685,217.362294790388,262.136005349053,226.806763705508,78.9349170986848,130.982294790388,186.176005349053,160.003430372175,109.190529413143,217.362294790388,232.441906161321,208.135639872416,66.8238627464763,130.982294790388,155.868572827987,142.795639872416
"O","1.00","1.00","1.00","1.00","2207",53,"",2022,33.4125,69.2,70.865,67.91,33.4125,69.2,62.84375,62.5192307692308,"1.22","1.23","1.34","1.26",21.65,35.57,31.285,41.7666666666667,19.6,35.57,29.7333333333333,41.5178571428571,"1.47","1.42","1.57","1.43",41.4375,60.44,70.72,63.31,41.4375,60.44,61.12,56.068,"1.52","1.42","1.57","1.43",26.2,28.67,56.15,58.2966666666667,26.2,28.67,38.6266666666667,48.212,33.4125,26.3758504224609,61.1082879415083,39.9061721246099,69.2,43.6504843310303,86.0988569328304,40.8414002029161,70.865,41.9947930471717,111.368430385098,88.4238880956342,67.91,52.6054890841382,90.4289044729528,83.2681045820814,33.4125,23.8783680498953,61.1082879415083,39.9061721246099,69.2,43.6504843310303,86.0988569328304,40.8414002029161,62.84375,39.9119443802431,96.2505439074829,60.8284960078486,62.5192307692308,52.2921112703602,80.0847862263389,68.8636604398989,160.802810488579,239.790741466777,312.652111527904,294.212498139172,127.390310488579,170.590741466777,241.787111527904,226.302498139172,158.305328116014,239.790741466777,259.834734295575,263.759788705829,124.892828116014,170.590741466777,196.990984295575,201.240557936598
"O","1.00","1.00","1.00","1.00","2207",54,"",2022,37.3,54.01,66.44,76.7633333333333,37.3,54.01,54.36875,70.9230769230769,"1.22","1.23","1.34","1.26",25.5,43.48,43.135,65.9733333333333,25.5,43.48,42.8,66.5413793103448,"1.47","1.42","1.57","1.43",25.2625,96.26,72.58,70.15,25.2625,96.26,68.4235294117647,67.262962962963,"1.52","1.42","1.57","1.43",23.2625,104.56,80.535,62.6566666666667,23.2625,104.56,79.9470588235294,60.3,37.3,31.0662441465475,37.2548566907355,35.4319591239976,54.01,53.3574095786674,137.125677835113,148.94931305256,66.44,57.9014031673247,114.297520890136,126.824894528618,76.7633333333333,83.0940015924391,100.198825600658,89.4957151254722,37.3,31.0662441465475,37.2548566907355,35.4319591239976,54.01,53.3574095786674,137.125677835113,148.94931305256,54.36875,57.451722628063,107.751994796335,125.899016615972,70.9230769230769,83.8094605655349,96.0751232403339,86.1295678363458,141.053059961281,393.442400466341,365.463818586079,349.551875651902,103.753059961281,339.432400466341,299.023818586079,272.788542318569,141.053059961281,393.442400466341,345.47148404037,336.937228565292,103.753059961281,339.432400466341,291.10273404037,266.014151642215
"O","1.00","1.00","1.00","1.00","2207",61,"",2022,25.4,63.46,60.205,51.7333333333333,25.4,63.46,55.6294117647059,47.9111111111111,"1.22","1.23","1.34","1.26",19.1625,34.48,35.635,53.2066666666667,19.1625,34.48,32.8611111111111,52.6785714285714,"1.47","1.42","1.57","1.43",37.4875,55.04,53.475,54.21,26.85,55.04,45.69375,49.5346153846154,"1.52","1.42","1.57","1.43",22.7375,35.75,42.96,39.6966666666667,14.7666666666667,35.75,29.1866666666667,30.78,25.4,23.3453687630673,55.2831841739317,34.6323125451648,63.46,42.3128675775633,78.4063713696721,50.9271034968346,60.205,47.8339284077342,84.2113520198404,67.6525419873276,51.7333333333333,67.0142710902644,77.4309099901875,56.700775199726,25.4,23.3453687630673,39.5959585213755,22.4916466300282,63.46,42.3128675775633,78.4063713696721,50.9271034968346,55.6294117647059,44.1104542244279,71.9575963788047,45.9625743048604,47.9111111111111,66.3491304290592,70.7528195027617,43.9646450746721,138.660865482164,235.10634244407,259.902822414902,252.879289613511,113.260865482164,171.64634244407,199.697822414902,201.145956280178,110.832973914471,235.10634244407,217.660036672799,228.977706117604,85.4329739144711,171.64634244407,162.030624908093,181.066595006493
"O","1.00","1.00","1.00","1.00","2207",62,"",2022,28.05,37.21,55.665,61.83,28.05,37.21,49.8529411764706,58.8555555555556,"1.22","1.23","1.34","1.26",45.4875,49.58,57.68,72.4433333333333,45.4875,49.58,57.9631578947368,73.1379310344828,"1.47","1.42","1.57","1.43",39.9,97.96,77.355,86.0233333333333,32.9,97.96,76.6866666666667,87.356,"1.52","1.42","1.57","1.43",24.1875,96.34,77.565,61.2066666666667,24.1875,96.34,72.5,55.5730769230769,28.05,55.4166972790619,58.8409216015972,36.8408602390841,37.21,60.843154712749,139.547386253145,137.239640584197,55.665,77.4255925510905,121.817094632908,122.147798399606,61.83,91.2430242829669,122.871517808324,87.4246061144822,28.05,55.4166972790619,48.5179528995626,36.8408602390841,37.21,60.843154712749,139.547386253145,137.239640584197,49.8529411764706,77.8056838788561,120.764616772227,114.171538502822,58.8555555555556,92.1178762810279,124.775033630379,79.3778623336753,179.148479119743,374.840181550091,377.055485583604,363.369148205773,151.098479119743,337.630181550091,321.390485583604,301.539148205773,168.825510417709,374.840181550091,362.594780330376,355.126327800637,140.775510417709,337.630181550091,312.741839153905,296.270772245082
"O","1.00","1.00","1.00","1.00","2207",63,"",2022,49.4,76.86,76.18,70.9133333333333,49.4,76.86,72.1705882352941,67.8037037037037,"1.22","1.23","1.34","1.26",38.8875,69.17,59.74,77.1833333333333,37.6142857142857,69.17,60.3684210526316,78.1965517241379,"1.47","1.42","1.57","1.43",51.975,63.96,63.75,61.9366666666667,46.86,63.96,60.1764705882353,59.4851851851852,"1.52","1.42","1.57","1.43",40.9875,53.29,63.345,58.2633333333333,40.9875,53.29,61.1882352941176,56.3407407407407,49.4,47.3760223234849,76.6480426126068,62.4295507617347,76.86,84.8834411351523,91.1132178925187,75.9134362334634,76.18,80.190792285058,100.392214890413,99.7544290546384,70.9133333333333,97.213096547743,88.4673023751875,83.2204928806793,49.4,45.8248856234507,69.1049019110487,62.4295507617347,76.86,84.8834411351523,91.1132178925187,75.9134362334634,72.1705882352941,81.0343406964932,94.7646928100506,96.3579994731326,67.8037037037037,98.4892541454441,84.9657262465174,80.4743557475888,235.853615697826,328.770095261134,356.517436230109,339.814225136943,186.453615697826,251.910095261134,280.337436230109,268.90089180361,226.759338296234,328.770095261134,344.32762121497,331.733039843254,177.359338296234,251.910095261134,272.157032979676,263.92933613955
"O","1.00","1.00","1.00","1.00","2207",64,"",2022,44.4,91.59,78.65,75.6633333333333,44.4,91.59,74.1294117647059,72.4851851851852,"1.22","1.23","1.34","1.26",30.225,37.62,39.28,40.7366666666667,30.225,37.62,39.0631578947368,40.6448275862069,"1.47","1.42","1.57","1.43",35.8125,66.64,74.055,77.0566666666667,35.8125,66.64,72.4941176470588,76.4074074074074,"1.52","1.42","1.57","1.43",34.3875,50.41,53.73,51.7633333333333,34.3875,50.41,48.4882352941176,48.2444444444444,44.4,36.8226364442901,52.8130452345162,52.3768509135505,91.59,46.1661855646151,94.9309699868269,71.8107772664457,78.65,52.7267211408952,116.620321156228,84.612920879402,75.6633333333333,51.3081949000201,110.063970131167,73.9362111072756,44.4,36.8226364442901,52.8130452345162,52.3768509135505,91.59,46.1661855646151,94.9309699868269,71.8107772664457,74.1294117647059,52.4356474846881,114.162275091991,76.3582954871209,72.4851851851852,51.1925227592869,109.136599991635,68.9100024959303,186.412532592357,304.497932817888,332.609963176525,310.971709471796,142.012532592357,212.907932817888,253.959963176525,235.308376138462,186.412532592357,304.497932817888,317.085629828505,301.724310432038,142.012532592357,212.907932817888,242.9562180638,229.239125246853
"O","1.00","1.00","1.00","1.00","2207",65,"",2022,49.425,65.97,81.995,83.1766666666667,49.425,65.97,77.075,80.3307692307692,"1.22","1.23","1.34","1.26",38.9,110.41,79.115,77.52,34.3333333333333,110.41,82.0611111111111,79.3,"1.47","1.42","1.57","1.43",29.8875,45.41,71.5,58.8433333333333,29.8875,45.41,58.0714285714286,47.8458333333333,"1.52","1.42","1.57","1.43",13.3375,15.58,50.835,41.9266666666667,13.3375,15.58,30.95,28.1,49.425,47.3912508745371,44.0753895831512,20.3148309432055,65.97,135.491986926878,64.6881054487066,22.1942453840751,81.995,106.198435414,112.596758661404,80.0539332384962,83.1766666666667,97.6371312163382,84.0489364850754,59.8859980235245,49.425,41.8277535567894,44.0753895831512,20.3148309432055,65.97,135.491986926878,64.6881054487066,22.1942453840751,77.075,110.153088647341,91.4497150766449,48.7394360918945,80.3307692307692,99.8790570879207,68.3406458999972,40.1366642819456,161.206471400894,288.34433775966,380.8441273139,324.748732391605,111.781471400894,222.37433775966,298.8491273139,241.572065724938,155.642974083146,288.34433775966,327.417239815881,288.687136500633,106.217974083146,222.37433775966,250.342239815881,208.356367269864
"O","1.00","1.00","1.00","1.00","2207",70,"",2022,50.525,94.4,79.48,71.7666666666667,50.525,94.4,78.0705882352941,70.0222222222222,"1.22","1.23","1.34","1.26",43.15,64.24,59.125,73.23,41.0571428571429,64.24,59.1947368421053,73.7620689655172,"1.47","1.42","1.57","1.43",40.175,46.2,54.435,69.5666666666667,38.85,46.2,45.68125,66.5076923076923,"1.52","1.42","1.57","1.43",23.975,52.81,58.255,48.0866666666667,23.975,52.81,47.41875,39.8538461538462,50.525,52.5689582322951,59.2464668006057,36.5171937666993,94.4,78.8334864612142,65.8134875959094,75.2296597389605,79.48,79.3652593547716,85.7231406676019,91.7387996618196,71.7666666666667,92.2338379640408,99.3656208261215,68.6846404426272,50.525,50.0192636846933,57.292476296292,36.5171937666993,94.4,78.8334864612142,65.8134875959094,75.2296597389605,78.0705882352941,79.4588692077994,71.937911630787,74.6740916052512,70.0222222222222,92.9039835703663,94.9963316128392,56.9252826840296,198.8576187996,314.276633796084,336.307199684193,332.050765899456,148.3326187996,219.876633796084,256.827199684193,260.284099232789,194.353933747685,314.276633796084,304.141460679132,314.847820089457,143.828933747685,219.876633796084,226.070872443838,244.825597867235
