"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
11,22,5,9,86,0,0,"2208",2,"TT","O","",2022,0,21.6562458150397,21.6562458150397,21.6562458150397,8302.8,7020.7,94.35,79.7806818181818,1671,90.1,65.4875,91.67,90.415,84.8266666666667,97.3821428571429,65.4875,91.67,93.4666666666667,86.3892857142857
25,26,2,12,86,0,0,"2208",4,"TT","O","",2022,0,28.4816870144284,28.4816870144284,28.4816870144284,7734.9,8026.9,86.9089887640449,90.1898876404494,2706,90.1,65.35,84.25,77.145,79.8,87.9068965517241,66.4285714285714,84.25,78.1631578947368,80.5586206896552
22,11,13,10,77,1,0,"2208",10,"TT","O","",2022,0,18.1857851332556,18.1857851332556,18.1857851332556,6611.8,8201,75.1340909090909,93.1931818181818,1618,90.1,28.8,32.23,51.64,67.6266666666667,79.9321428571429,28.8,32.23,50.5888888888889,68.0928571428571
30,23,12,20,68,2,1,"2208",11,"TT","O","",2022,0,22.7901823099681,22.7901823099681,22.7901823099681,6610.8,7674.7,76.8697674418604,89.2406976744186,1737,87.3,47.575,71.48,61.385,68.2266666666667,94.2655172413793,47.575,71.48,61.6,68.6034482758621
24,25,9,11,80,0,1,"2208",22,"TT","O","",2022,0,20.9793988473835,20.9793988473835,20.9793988473835,7073.1,7839.5,80.3761363636364,89.0852272727273,1802,90.1,40.975,111.32,95.205,77.94,80.7928571428571,40.975,111.32,99.3277777777778,79.3571428571429
22,24,6,11,83,0,0,"2208",23,"TT","O","",2022,0,16.3107658157603,16.3107658157603,16.3107658157603,7802.2,7245.5,88.6613636363636,82.3352272727273,1557,90.1,53.225,55.9,66.365,65.4,100.764285714286,53.225,55.9,67.2111111111111,65.875
46,18,5,12,83,0,0,"2208",26,"TT","O","",2022,0,23.8649405733208,23.8649405733208,23.8649405733208,6514.6,8859.4,73.1977528089888,99.5438202247191,1938,90.1,46.7,60.92,55.68,69.5433333333333,94.9448275862069,46.7,60.92,55.4684210526316,69.8827586206897
45,11,5,15,80,1,0,"2208",27,"TT","O","",2022,0,22.3022428675761,22.3022428675761,22.3022428675761,4104.5,5963.7,70.7672413793103,102.822413793103,1288,59.4,65.025,81.5,80.795,81.5566666666667,88.3034482758621,65.025,81.5,82.1736842105263,82.4862068965517
34,10,6,20,74,0,0,"2208",29,"TT","O","",2022,0,19.5189731839175,19.5189731839175,19.5189731839175,6433.3,8449.4,73.1056818181818,96.0159090909091,1442,90.1,42.0875,47.46,47.22,51.27,106.571428571429,42.0875,47.46,45.9666666666667,50.7535714285714
25,30,0,7,93,0,0,"2208",30,"TT","O","",2022,0,25.0269385390369,25.0269385390369,25.0269385390369,8038.2,7951,90.3168539325843,89.3370786516854,2068,90.1,65.6875,108.37,91.665,85.49,90.6827586206897,65.6875,108.37,93.4105263157895,86.4206896551724
