"AGE","MULT08B1","MULT10B1","MULT20B1","MULT30B1","GROUP","NUMBER","SLGROUP","YEAR","TAV08B1","TAV10B1","TAV20B1","TAV30B1","TAV08AB1","TAV10AB1","TAV20AB1","TAV30AB1","MULT08B2","MULT10B2","MULT20B2","MULT30B2","TAV08B2","TAV10B2","TAV20B2","TAV30B2","TAV08AB2","TAV10AB2","TAV20AB2","TAV30AB2","MULT08B3","MULT10B3","MULT20B3","MULT30B3","TAV08B3","TAV10B3","TAV20B3","TAV30B3","TAV08AB3","TAV10AB3","TAV20AB3","TAV30AB3","MULT08B4","MULT10B4","MULT20B4","MULT30B4","TAV08B4","TAV10B4","TAV20B4","TAV30B4","TAV08AB4","TAV10AB4","TAV20AB4","TAV30AB4","IDX08B1","IDX08B2","IDX08B3","IDX08B4","IDX10B1","IDX10B2","IDX10B3","IDX10B4","IDX20B1","IDX20B2","IDX20B3","IDX20B4","IDX30B1","IDX30B2","IDX30B3","IDX30B4","IDX08AB1","IDX08AB2","IDX08AB3","IDX08AB4","IDX10AB1","IDX10AB2","IDX10AB3","IDX10AB4","IDX20AB1","IDX20AB2","IDX20AB3","IDX20AB4","IDX30AB1","IDX30AB2","IDX30AB3","IDX30AB4","IDX08_4","IDX10_4","IDX20_4","IDX30_4","IDX08_3","IDX10_3","IDX20_3","IDX30_3","IDX08A_4","IDX10A_4","IDX20A_4","IDX30A_4","IDX08A_3","IDX10A_3","IDX20A_3","IDX30A_3"
"O","1.00","1.00","1.00","1.00","2208",2,"",2022,44.5,57.51,68.82,71.59,44.5,57.51,69.7631578947369,72.3034482758621,"1.22","1.23","1.34","1.26",57.6875,112.39,91.22,83.3333333333333,47.18,112.39,88.2117647058824,80.562962962963,"1.47","1.42","1.57","1.43",47.0125,80.08,73.435,67.3066666666667,34.475,80.08,67.7625,62.8730769230769,"1.52","1.42","1.57","1.43",41.05,46.91,54.11,60.36,41.05,46.91,54.7473684210526,60.9931034482759,44.5,70.2797631060376,69.3297951577716,62.5247467830243,57.51,137.921786167121,114.07671183291,66.8249069940283,68.82,122.447339675979,115.643957654548,85.211337219141,71.59,104.959076384952,96.1375474710611,86.2152688988696,44.5,57.4786430915337,50.8406208575203,62.5247467830243,57.51,137.921786167121,114.07671183291,66.8249069940283,69.7631578947369,118.409295290054,106.711019004104,86.2150521601712,72.3034482758621,101.469770201133,89.8048249407288,87.1195628689475,246.634305046833,376.333404994059,392.122634549669,358.901892754883,202.134305046833,318.823404994059,323.302634549669,287.311892754883,215.344010732078,376.333404994059,381.098524349066,350.697606286671,170.844010732078,318.823404994059,311.335366454329,278.394158010809
"O","1.00","1.00","1.00","1.00","2208",4,"",2022,51.0125,118.05,93.17,82.4133333333333,51.0125,118.05,95.6631578947368,83.6758620689655,"1.22","1.23","1.34","1.26",22.625,41.91,48.925,51.26,22.625,41.91,37.5625,44.6269230769231,"1.47","1.42","1.57","1.43",29.0375,68.55,62.45,63.76,29.0375,68.55,57.4705882352941,60.7703703703704,"1.52","1.42","1.57","1.43",29.8875,62.73,51.275,48.3533333333333,26.3666666666667,62.73,52.4777777777778,48.9178571428571,51.0125,27.5636774045348,42.8218862407613,45.5227373806977,118.05,51.4307505851414,97.6518306212032,89.3610406253549,93.17,65.6734936817285,98.3450010965691,80.7468363687203,82.4133333333333,64.5624270659119,91.0716624418808,69.0655340538437,51.0125,27.5636774045348,42.8218862407613,40.1600281813822,118.05,51.4307505851414,97.6518306212032,89.3610406253549,95.6631578947368,50.421269420949,90.5035238273894,82.6409465668705,83.6758620689655,56.208007536674,86.8014218450195,69.8718722254459,166.920801025994,356.4936218317,337.935331147018,307.11295689497,115.908301025994,238.4436218317,244.765331147018,224.699623561636,161.558091826678,356.4936218317,319.228897709946,296.557163676105,110.545591826678,238.4436218317,223.565739815209,212.881301607139
"O","1.00","1.00","1.00","1.00","2208",10,"",2022,50.3,49.51,53.385,56.9233333333333,50.3,49.51,53.3684210526316,57.0344827586207,"1.22","1.23","1.34","1.26",32.5875,36.73,48.4,47.44,32.5875,36.73,37.725,40.7230769230769,"1.47","1.42","1.57","1.43",36.9625,47.24,59.915,57.19,36.9625,47.24,46.54,48.62,"1.52","1.42","1.57","1.43",25.475,29.13,36.385,40.5666666666667,25.475,29.13,35.1052631578947,39.8724137931034,50.3,39.7008325931614,54.5089615212791,38.8018982776503,49.51,45.0740030778393,67.2950033339991,41.4966860101481,53.385,64.9687704485572,94.3529341985739,57.2983645300027,56.9233333333333,59.7511030044257,81.6873960955326,57.94344060632,50.3,39.7008325931614,54.5089615212791,38.8018982776503,49.51,45.0740030778393,67.2950033339991,41.4966860101481,53.3684210526316,50.6393980407401,73.2902538196049,55.2830607487351,57.0344827586207,51.2910784967943,69.4464276650603,56.9518037909114,183.311692392091,203.375692421986,270.005069177134,256.305273039612,133.011692392091,153.865692421986,216.620069177134,199.381939706278,183.311692392091,203.375692421986,232.581133661712,234.723792711387,133.011692392091,153.865692421986,179.21271260908,177.689309952766
"O","1.00","1.00","1.00","1.00","2208",11,"",2022,41.725,89.08,73.765,69.8833333333333,41.725,89.08,76.4052631578947,71.4793103448276,"1.22","1.23","1.34","1.26",21.9375,24.86,39.205,45.0233333333333,21.9375,24.86,26.7333333333333,38.704,"1.47","1.42","1.57","1.43",26.3,35.98,53.57,46.4433333333333,26.1571428571429,35.98,34.5785714285714,33.5833333333333,"1.52","1.42","1.57","1.43",22.2875,29.32,37.39,33.2066666666667,22.2875,29.32,34.7352941176471,31.0703703703704,41.725,26.7261070966622,38.7848681233585,33.9469011918795,89.08,30.5074793497164,51.2547464004506,41.7673475392222,73.765,52.6260463932993,84.3609561047751,58.881018270628,69.8833333333333,56.7072897892621,66.3373835635051,47.4307769367428,41.725,26.7261070966622,38.5741952927048,33.9469011918795,89.08,30.5074793497164,51.2547464004506,41.7673475392222,76.4052631578947,35.8849544764069,54.453637230755,54.7004409622042,71.4793103448276,48.7480331088384,47.9687891625862,44.3793958957745,141.1828764119,212.609573289389,269.633020768702,240.358783622843,99.4578764119002,123.529573289389,195.868020768702,170.47545028951,140.972203581246,212.609573289389,221.444295827261,212.575528512027,99.2472035812465,123.529573289389,145.039032669366,141.096218167199
"O","1.00","1.00","1.00","1.00","2208",22,"",2022,62.75,72,82.74,90.45,62.75,72,84.0684210526316,91.5862068965517,"1.22","1.23","1.34","1.26",29.5125,59.24,67.11,56.5233333333333,29.5125,59.24,54.74,46.984,"1.47","1.42","1.57","1.43",20.775,38.05,51.8,44.85,20.775,38.05,41.7133333333333,37.408,"1.52","1.42","1.57","1.43",25,33.17,39.605,46.6166666666667,25,33.17,38.5,46.1344827586207,62.75,35.954609034313,30.6370963978241,38.0784085158491,72,72.6976297939341,54.2035325329946,47.2518048388813,82.74,90.0837641488156,81.5735957854648,62.3691556193694,90.45,71.1916423303855,64.0615442364861,66.5849644107958,62.75,35.954609034313,30.6370963978241,38.0784085158491,72,72.6976297939341,54.2035325329946,47.2518048388813,84.0684210526316,73.479142445331,65.6893164516928,60.6290238946022,91.5862068965517,59.1767669384473,53.4317557814598,65.8962365232728,167.420113947986,246.15296716581,316.76651555365,292.288150977667,104.670113947986,174.15296716581,234.02651555365,201.838150977667,167.420113947986,246.15296716581,283.865903844258,270.090966139732,104.670113947986,174.15296716581,199.797482791626,178.50475924318
"O","1.00","1.00","1.00","1.00","2208",23,"",2022,31.75,62.53,67.36,56.05,31.75,62.53,66.8444444444444,54.9107142857143,"1.22","1.23","1.34","1.26",45.275,73.31,84.43,74.2466666666667,45.275,73.31,79.2714285714286,68.6916666666667,"1.47","1.42","1.57","1.43",54.0875,93.03,86.205,78.6166666666667,41.625,93.03,77.3066666666667,71.76,"1.52","1.42","1.57","1.43",66.4875,98.08,83,87.6033333333333,69.26,98.08,86.7294117647059,90.462962962963,31.75,55.157811911174,79.7633670958994,101.269527447901,62.53,89.9639304556602,132.524431840854,139.71833037677,67.36,113.33291919363,135.753896229459,130.706726837714,56.05,93.5143386959372,112.292197756784,125.128312454782,31.75,55.157811911174,61.3847960317414,105.492422952308,62.53,89.9639304556602,132.524431840854,139.71833037677,66.8444444444444,106.408414173272,121.740980273906,136.579729305121,54.9107142857143,86.5177666641163,102.498470778378,129.212867416175,267.940706454974,424.736692673284,447.153542260803,386.984848907503,236.190706454974,362.206692673285,379.793542260803,330.934848907503,253.785030895224,424.736692673284,431.573568196743,373.139819144383,222.035030895224,362.206692673285,364.729123752298,318.229104858669
"O","1.00","1.00","1.00","1.00","2208",26,"",2022,53.525,86.77,75.475,71.5766666666667,53.525,86.77,76.8842105263158,72.3655172413793,"1.22","1.23","1.34","1.26",36.5625,52.41,63.15,71.6533333333333,36.5625,52.41,52.2666666666667,66.824,"1.47","1.42","1.57","1.43",28.95,63.58,63.025,75.1733333333333,28.95,63.58,53.90625,71.4307692307692,"1.52","1.42","1.57","1.43",14.8375,54.05,37.46,41.7633333333333,14.8375,54.05,36.7666666666667,41.625,53.525,44.5435118277703,42.6928491319859,22.5995354541565,86.77,64.3160495864296,90.5718948343705,76.9960823497598,75.475,84.7681374757518,99.2504995053846,58.9912528595273,71.5766666666667,90.2480122388375,107.37390900195,59.6527006866543,53.525,44.5435118277703,42.6928491319859,22.5995354541565,86.77,64.3160495864296,90.5718948343705,76.9960823497598,76.8842105263158,70.1591129912794,84.890475826452,57.8994055028106,72.3655172413793,84.1654238441767,102.028213666068,59.4551121258358,163.360896413913,318.65402677056,318.484889840664,328.851288594108,109.835896413913,231.88402677056,243.009889840664,257.274621927442,163.360896413913,318.65402677056,289.833204846858,318.01426687746,109.835896413913,231.88402677056,212.948994320542,245.648749636081
"O","1.00","1.00","1.00","1.00","2208",27,"",2022,30.9,58.81,49.955,43.7666666666667,30.9,58.81,50.1368421052632,43.6724137931034,"1.22","1.23","1.34","1.26",36.3625,44.4,62.66,56.1466666666667,36.3625,44.4,51.52,48.16,"1.47","1.42","1.57","1.43",40.7625,77,89.455,75.8666666666667,40.7625,77,82.5666666666667,69.016,"1.52","1.42","1.57","1.43",26.7625,31.22,36.085,34,26.7625,31.22,33.8222222222222,32.3964285714286,30.9,44.2998550109346,60.1128588166693,40.7629363162165,58.81,54.4864072054469,109.689145993182,44.473962829963,49.955,84.1103957914586,140.871930714069,56.8259305775772,43.7666666666667,70.7172273051256,108.364232391113,48.5639354301121,30.9,44.2998550109346,60.1128588166693,40.7629363162165,58.81,54.4864072054469,109.689145993182,44.473962829963,50.1368421052632,69.1568399485468,130.024322239766,53.2625537475236,43.6724137931034,60.6579494243917,98.5790755189593,46.273472509091,176.07565014382,267.459516028592,331.763257083104,271.412061793017,145.17565014382,208.649516028592,281.808257083104,227.64539512635,176.07565014382,267.459516028592,302.5805580411,249.182911245545,145.17565014382,208.649516028592,252.443715935836,205.510497452442
"O","1.00","1.00","1.00","1.00","2208",29,"",2022,50.875,57.63,75.14,79.8233333333333,50.875,57.63,75.7789473684211,80.4034482758621,"1.22","1.23","1.34","1.26",39.9,86.78,72.83,76.7266666666667,24.8333333333333,86.78,68.7,75.028,"1.47","1.42","1.57","1.43",52,93.52,80.575,89.27,48.7,93.52,76.7375,88.2461538461538,"1.52","1.42","1.57","1.43",45.7375,60.46,59.63,55.87,45.7375,60.46,60.3444444444444,56.0607142857143,50.875,48.6095349587155,76.6849103579712,69.664448379746,57.63,106.493928317313,133.222453678992,86.1273476201013,75.14,97.7618915654632,126.887885722275,93.9041219437697,79.8233333333333,96.6379208091534,127.508897524885,79.8019727200107,50.875,30.2540547570953,71.8183679698692,69.664448379746,57.63,106.493928317313,133.222453678992,86.1273476201013,75.7789473684211,92.2180687978488,120.844668080832,95.029214652694,80.4034482758621,94.4984349961226,126.046485804128,80.0743796687468,245.833893696433,383.473729616406,393.693899231508,383.772124387383,194.958893696433,325.843729616406,318.553899231508,303.94879105405,222.611871106711,383.473729616406,383.870898899796,381.022748744859,171.736871106711,325.843729616406,308.091951531375,300.619300468997
"O","1.00","1.00","1.00","1.00","2208",30,"",2022,51.7,62.18,80.32,92.16,51.7,62.18,81.3157894736842,93.2206896551724,"1.22","1.23","1.34","1.26",50.5125,87.25,88.625,81.2833333333333,50.5125,87.25,82.4411764705882,76.5740740740741,"1.47","1.42","1.57","1.43",38.5875,79.48,84.025,69.2966666666667,38.5875,79.48,78.01875,63.3346153846154,"1.52","1.42","1.57","1.43",54.3625,88.79,80.05,79.6633333333333,54.3625,88.79,81.5105263157895,80.6068965517241,51.7,61.538574802058,56.9053649699657,82.801499317714,62.18,107.070698844037,113.221991214781,126.484406139411,80.32,118.963993409161,132.320876175168,126.06112630553,92.16,102.377083105883,98.9799660447647,113.787205180809,51.7,61.538574802058,56.9053649699657,82.801499317714,62.18,107.070698844037,113.221991214781,126.484406139411,81.3157894736842,110.663261769146,122.862354752649,128.361133705496,93.2206896551724,96.445729078173,90.464063883219,115.134944687049,252.945439089738,408.957096198229,457.665995889859,407.304254331456,201.245439089738,346.777096198229,377.345995889859,315.144254331456,252.945439089738,408.957096198229,443.202539700975,395.265427303613,201.245439089738,346.777096198229,361.886750227291,302.044737648441
