AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,2210,1,,2022,62.85,84.99,80.82,82.31333333,61.62857143,84.99,76.35625,79.79615385,1.22,1.23,1.34,1.26,29.1625,28.45,43.785,56.85,29.1625,28.45,36.84705882,53.93333333,1.47,1.42,1.57,1.43,16.9375,83.85,54.13,61.01666667,16.9375,83.85,54.11578947,61.24482759,1.52,1.42,1.57,1.43,16.9875,25.74,33.67,38.86333333,16.9875,25.74,32.24210526,38.10689655,62.85,35.5282096,24.97789748,25.87427859,84.99,34.91302444,119.4472064,36.66751452,80.82,58.77391765,85.24283282,53.02283726,82.31333333,71.60308191,87.15321942,55.51048266,61.62857143,35.5282096,24.97789748,25.87427859,84.99,34.91302444,119.4472064,36.66751452,76.35625,49.46091129,85.22045437,50.77421741,79.79615385,67.92951424,87.4791133,54.4300254,149.2303857,276.0177453,277.8595877,296.5801173,86.38038568,191.0277453,197.0395877,214.266784,148.0089571,276.0177453,261.8118331,289.6348068,86.38038568,191.0277453,185.4555831,209.8386529
O,1,1,1,1,2210,2,,2022,63.0875,69.14,89.595,91.49666667,63.0875,69.14,87.55294118,90.42222222,1.22,1.23,1.34,1.26,41.375,88.18,79.79,68.97666667,41.375,88.18,76.94117647,65.98148148,1.47,1.42,1.57,1.43,43.3,79.19,89.425,76.57333333,43.3,79.19,90.83684211,77.05517241,1.52,1.42,1.57,1.43,38.175,58.29,50.585,52.87,38.175,58.29,50.20526316,52.7,63.0875,50.40650398,63.85493497,58.1457298,69.14,108.2119682,112.8088762,83.03610805,89.595,107.1045081,140.8246873,79.66023828,91.49666667,86.87672671,109.3736005,75.51691959,63.0875,50.40650398,63.85493497,58.1457298,69.14,108.2119682,112.8088762,83.03610805,87.55294118,103.2804469,143.0480278,79.06223635,90.42222222,83.10426426,110.0618358,75.27409992,235.4946688,373.1969525,417.1844337,363.2639134,172.4071688,304.0569525,327.5894337,271.7672468,235.4946688,373.1969525,412.9436523,358.8624222,172.4071688,304.0569525,325.3907111,268.4402
O,1,1,1,1,2210,3,,2022,49.2125,94.08,87.37,88.53,49.2125,94.08,80.95,84.75769231,1.22,1.23,1.34,1.26,48.125,88.73,103.985,87.77666667,48.125,88.73,100.2733333,82.308,1.47,1.42,1.57,1.43,92.0125,119.77,107.325,109.3166667,106,119.77,114.6875,114.1538462,1.52,1.42,1.57,1.43,38.7625,48.6,49.785,49.97666667,38.7625,48.6,48.55882353,49.22592593,49.2125,58.62992155,135.6917368,59.0405724,94.08,108.8869124,170.6164807,69.23237007,87.37,139.5821817,169.0132465,78.40041441,88.53,110.5554943,156.1425747,71.38422391,49.2125,58.62992155,156.3192403,59.0405724,94.08,108.8869124,170.6164807,69.23237007,80.95,134.5999003,180.6075631,76.46945642,84.75769231,103.6676599,163.0517651,70.31190259,302.5747308,442.8157632,474.3658426,426.612293,253.3622308,348.7357632,386.9958426,338.082293,323.2022343,442.8157632,472.6269198,421.7890199,273.9897343,348.7357632,391.6769198,337.0313276
O,1,1,1,1,2210,10,,2022,32.725,45.17,48.435,51.72,30.71666667,45.17,40.02352941,46.78888889,1.22,1.23,1.34,1.26,40.1375,61.44,58.645,52.61,38.1,61.44,52.00588235,47.75925926,1.47,1.42,1.57,1.43,39.825,50.44,50.2,62.5,39.825,50.44,49.48421053,62.45517241,1.52,1.42,1.57,1.43,19.825,56.33,52.905,45.36,19.825,56.33,52.64210526,44.92758621,32.725,48.89887743,58.73031837,30.19617795,45.17,75.39740673,71.8535133,80.2440207,48.435,78.72094097,79.05394804,83.31372751,51.72,66.2627641,89.27194013,64.79000327,30.71666667,46.41662361,58.73031837,30.19617795,45.17,75.39740673,71.8535133,80.2440207,40.02352941,69.80905439,77.92673721,82.89972618,46.78888889,60.15321289,89.2079106,64.17236458,170.5503737,272.6649407,289.5236165,272.0447075,137.8253737,227.4949407,241.0886165,220.3247075,166.0597866,272.6649407,270.6590472,260.322377,135.3431199,227.4949407,230.6355178,213.5334881
O,1,1,1,1,2210,16,,2022,53.1125,82.15,96.88,83.61333333,53.1125,82.15,86.29166667,73.01363636,1.22,1.23,1.34,1.26,95.8125,108.33,103.8,107.1833333,99.76,108.33,108.33,111.14,1.47,1.42,1.57,1.43,35.6,39.34,51.49,53.69333333,35.6,39.34,50.92777778,53.48928571,1.52,1.42,1.57,1.43,45.775,70.86,59.705,59.29,43.78571429,70.86,59.70526316,59.27586207,53.1125,116.7268438,52.4996694,69.72156599,82.15,132.9394706,56.04118186,100.942505,96.88,139.3338507,81.08541403,94.02223043,83.61333333,134.998364,76.69292862,84.68693328,53.1125,121.5360202,52.4996694,66.69161263,82.15,132.9394706,56.04118186,100.942505,86.29166667,145.4146054,80.20003781,94.02264485,73.01363636,139.981821,76.40147699,84.66673936,292.0605792,372.0731574,411.3214951,379.9915593,238.9480792,289.9231574,314.4414951,296.3782259,293.8398023,372.0731574,405.9289548,374.0636737,240.7273023,289.9231574,319.6372881,301.0500373
O,1,1,1,1,2210,18,,2022,33.95,49.92,61.735,61.87666667,33.95,49.92,50.35625,54.89615385,1.22,1.23,1.34,1.26,47.5,69.82,86.505,73.16333333,47.5,69.82,79.09333333,66.048,1.47,1.42,1.57,1.43,58.9125,98.89,82.745,86.40333333,61.01666667,98.89,86.09444444,88.81785714,1.52,1.42,1.57,1.43,38.1875,42.16,60.82,70.68666667,38.1875,42.16,57.5,69.69259259,33.95,57.868494,86.87884195,58.16476901,49.92,85.6811025,140.8722032,60.05836877,61.735,116.1182539,130.305158,95.77810996,61.87666667,92.1498707,123.4142912,100.965374,33.95,57.868494,89.98187719,58.16476901,49.92,85.6811025,140.8722032,60.05836877,50.35625,106.1693516,135.5797956,90.54984088,54.89615385,83.18804492,126.8630788,99.54548725,236.862105,336.5316745,403.9365218,378.4062026,202.912105,286.6116745,342.2015218,316.5295359,239.9651402,336.5316745,382.655238,364.4927648,206.0151402,286.6116745,332.298988,309.596611
O,1,1,1,1,2210,19,,2022,61.6375,69.81,84.42,93.97333333,61.6375,69.81,78.25,91.64615385,1.22,1.23,1.34,1.26,52.825,92.29,79.715,74.76333333,48.52,92.29,75.48823529,71.55185185,1.47,1.42,1.57,1.43,27.5625,55.87,44.975,50.07333333,27.5625,55.87,44.61578947,50.0137931,1.52,1.42,1.57,1.43,30.9125,50.36,69.38,57.50666667,30.9125,50.36,68.8,56.71724138,61.6375,64.35585675,40.64668926,47.08395213,69.81,113.2556424,79.58873489,71.73955055,84.42,107.0038334,70.82572337,109.2582254,93.97333333,94.16508497,71.52229785,82.13970726,61.6375,59.11114376,40.64668926,47.08395213,69.81,113.2556424,79.58873489,71.73955055,78.25,101.3301205,70.26004587,108.3448531,91.64615385,90.12019541,71.4372535,81.01213083,213.7239981,334.3939278,371.5077822,341.8004234,152.0864981,264.5839278,287.0877822,247.8270901,208.4792852,334.3939278,358.1850194,334.2157336,146.8417852,264.5839278,279.9350194,242.5695797
O,1,1,1,1,2210,22,,2022,64,81.31,80.055,88.74333333,63.04,81.31,74.61875,86.73461538,1.22,1.23,1.34,1.26,48.775,85.21,77.03,71.25,35.1,85.21,71.66875,67.06153846,1.47,1.42,1.57,1.43,47.55,98.88,77.33,69.10666667,47.55,98.88,78.54736842,69.62068966,1.52,1.42,1.57,1.43,21.425,41.56,37.19,33.25,21.425,41.56,35.74736842,32.16896552,64,59.42180621,70.12245168,32.6331961,81.31,104.5672693,140.8579579,59.20364815,80.055,103.3996774,121.7777251,58.5660623,88.74333333,89.74001031,98.70857935,47.49267215,63.04,42.76177135,70.12245168,32.6331961,81.31,104.5672693,140.8579579,59.20364815,74.61875,96.20311089,123.6948124,56.29423517,86.73461538,84.46460565,99.44278462,45.94857542,226.177454,385.9388753,363.7984649,324.6845951,162.177454,304.6288753,283.7434649,235.9412618,208.5574191,385.9388753,350.8109084,316.5905811,145.5174191,304.6288753,276.1921584,229.8559657
O,1,1,1,1,2210,23,,2022,20.2375,39.84,58.86,48.82666667,20.2375,39.84,53.58125,44.03461538,1.22,1.23,1.34,1.26,44.425,93.85,79.34,69.93,32.725,93.85,75.825,66.31923077,1.47,1.42,1.57,1.43,34.6875,67.85,52.14,56.48333333,34.6875,67.85,54.33888889,58.20714286,1.52,1.42,1.57,1.43,30.6125,82.24,59.49,54.80666667,28.3,82.24,59.29444444,54.34642857,20.2375,54.12227044,51.15399669,46.62701123,39.84,115.1700296,96.65465657,117.1537061,58.86,106.5004597,82.10902093,93.68365277,48.82666667,88.07745854,80.67802803,78.28315945,20.2375,39.86834665,51.15399669,43.10475844,39.84,115.1700296,96.65465657,117.1537061,53.58125,101.7821698,85.57178683,93.37569582,44.03461538,83.5296625,83.14023316,77.62577788,172.1407784,368.8183923,341.1531334,295.8653127,151.9032784,328.9783923,282.2931334,247.038646,154.3646018,368.8183923,334.3109025,288.3302889,134.1271018,328.9783923,280.7296525,244.2956735
O,1,1,1,1,2210,24,,2022,42.9875,69.1,71.225,75.00333333,42.9875,69.1,64.99375,71.75,1.22,1.23,1.34,1.26,31.7,58.73,56.88,50.84333333,31.7,58.73,49.97647059,45.82592593,1.47,1.42,1.57,1.43,23.25,48.12,40.215,47.17333333,23.25,48.12,39.36315789,46.85517241,1.52,1.42,1.57,1.43,50.725,55.7,67.505,71.79666667,50.725,55.7,67.55789474,71.97931034,42.9875,38.61960547,34.28700319,77.26109088,69.1,72.07177241,68.54859357,79.34656405,71.225,76.35172858,63.32977132,106.3055132,75.00333333,64.03763168,67.38007982,102.5508436,42.9875,38.61960547,34.28700319,77.26109088,69.1,72.07177241,68.54859357,79.34656405,64.99375,67.08491416,61.98830755,106.3888108,71.75,57.71816232,66.92563434,102.8117229,193.1551995,289.06693,317.2120131,308.9718885,150.1676995,219.96693,245.9870131,233.9685552,193.1551995,289.06693,300.4557825,299.2055196,150.1676995,219.96693,235.4620325,227.4555196
