TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
19,37,4,20,76,0,2,2211,12,TT,O,,2022,0,26.31547056,26.31547056,26.31547056,8165.4,6981.1,91.74606742,78.43932584,2283,90.1,55.7625,70.45,68.845,84.81,79.22413793,54.04285714,70.45,68.9,85.39655172
20,17,7,7,86,0,1,2211,15,TT,O,,2022,0,23.78025429,23.78025429,23.78025429,7420.1,8096.3,83.37191011,90.96966292,1776,90.1,70.3125,86.46,83.115,93.62666667,72.39310345,70.34285714,86.46,83.8,94.43793103
23,25,16,21,63,4,0,2211,17,TT,O,,2022,0,18.38196078,18.38196078,18.38196078,6884.7,7034.1,79.13448276,80.85172414,1866,90,32.6625,92.38,67.845,61.82666667,81.48214286,32.6625,92.38,68.21111111,61.63214286
25,23,6,17,77,1,2,2211,21,TT,O,,2022,0,29.58623939,29.58623939,29.58623939,7567.9,7683.8,85.03258427,86.33483146,2590,90.1,58.875,56.49,71.26,82.37666667,93.93103448,58.875,56.49,71.05263158,82.62413793
24,39,14,22,64,1,2,2211,25,TT,O,,2022,0,26.58797097,26.58797097,26.58797097,4289.3,3996.3,82.48653846,76.85192308,1372,53.2,43.625,61,69.655,82.03333333,71.17931034,43.625,61,70.02105263,82.7
15,19,4,22,74,0,0,2211,32,TT,O,,2022,0,23.62407524,23.62407524,23.62407524,7642.9,7618.5,85.8752809,85.6011236,1958,90.1,49.6875,68.47,76.215,67.88333333,109.7,49.6875,68.47,76.38421053,67.70689655
48,11,38,40,22,1,1,2211,10,TT,O,,2022,1,27.62112169,26.95703434,30.94155844,2834.58,2514.4,69.29677778,77.9618035,1032.2,38,31.8375,73.69,55.21,50.91666667,81.59655172,31.8375,73.69,54.82105263,50.5137931
23,31,56,20,24,0,1,2211,12,TT,O,,2022,1,26.25856313,26.31547056,25.97402597,3250.9,3071.26,69.43838015,67.74942072,1198.4,44.74,46.175,58.05,52.01,66.61,57.69310345,46.175,58.05,51.71052632,66.91724138
30,10,8,13,79,0,1,2211,14,TT,O,,2022,1,16.30830463,15.68035516,19.44805195,6441.06,7680.94,75.67828407,89.95462233,1412.8,90.1,45.95,77.22,82.435,75.24666667,94.71071429,45.95,77.22,84.13333333,75.825
34,8,27,33,40,0,0,2211,15,TT,O,,2022,1,24.08094784,23.78025429,25.58441558,5235.02,5697.96,68.20865015,88.85807759,1634.8,69.26,48.475,63.25,57.425,58.06,89.6862069,48.475,63.25,57.10526316,57.87241379
68,1,11,22,67,0,0,2211,17,TT,O,,2022,1,18.17003226,18.38196078,17.11038961,6460.08,8023.76,75.09982971,93.30582611,1655.8,90.08,35.3,38.86,43.775,52.52666667,106.8428571,35.3,38.86,41.01666667,51.37857143
28,41,53,24,23,2,4,2211,21,TT,O,,2022,1,29.37381421,29.58623939,28.31168831,5269.84,5508.86,80.3009597,85.03194279,2043.4,67.8,50.5625,57.76,66.92,67.54,56.53448276,50.5625,57.76,67.23684211,67.76896552
29,14,19,34,47,0,0,2211,22,TT,O,,2022,1,28.63181198,28.22830424,30.64935065,5100.2,5230.86,75.15825138,90.68163393,1853.2,62.32,46.3375,79.23,64.065,67.44666667,86.1137931,45.31428571,79.23,64.04736842,67.55172414
38,26,38,48,14,1,1,2211,25,TT,O,,2022,1,27.23240005,26.58797097,30.45454545,4551.38,4281.88,76.9511476,75.47280524,1563.6,57.58,50.975,54.52,52.865,59.54333333,66.12758621,50.975,54.52,52.47368421,59.51724138
28,27,30,44,26,0,2,2211,32,TT,O,,2022,1,23.97554587,23.62407524,25.73289902,5656.48,5929.88,79.18293101,86.45298111,1661.6,72.48,28.0125,42.41,54.665,66.24666667,72.46206897,28.0125,42.41,54.13157895,66.29655172
36,19,31,33,36,0,1,2211,33,TT,O,,2022,1,29.09902199,28.50188828,32.08469055,6132.6,6219.28,81.55125948,81.74842217,2152.8,78.04,47.5375,72.49,59.79,63.22666667,77.36896552,47.5375,72.49,60.07894737,63.53448276
