"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
16,65,16,28,56,0,0,"2212",1,"TT","O","",2022,0,14.5605172452846,14.5605172452846,14.5605172452846,7934.8,4743.5,95.6,57.1506024096386,1294,90.1,96.975,106.92,108.485,105.773333333333,37.9260869565217,96.975,106.92,107.930769230769,104.634782608696
14,36,9,19,72,1,1,"2212",7,"TT","O","",2022,0,23.4790114158871,23.4790114158871,23.4790114158871,7702.9,6581.8,89.5686046511628,76.5325581395349,2158,90.1,62.6125,69.21,88.035,96.97,70.5076923076923,62.6125,69.21,82.73125,95.0807692307692
20,33,9,23,68,1,0,"2212",9,"TT","O","",2022,0,20.7685026425315,20.7685026425315,20.7685026425315,7254.9,6905.7,85.3517647058824,81.2435294117647,1805,90.1,55.5,99.49,107.25,91.9366666666667,78.196,55.5,99.49,103.913333333333,86.872
18,29,3,10,87,0,0,"2212",13,"TT","O","",2022,0,15.4771729587357,15.4771729587357,15.4771729587357,7562.4,6734.2,90.0285714285714,80.1690476190476,1312,90.1,77.4375,119.58,117.865,105.79,55.05,77.4375,119.58,118.814285714286,103.325
32,39,21,30,49,2,2,"2212",19,"TT","O","",2022,0,24.4739657955807,24.4739657955807,24.4739657955807,3948.5,4236.9,71.7909090909091,77.0345454545455,1526,59.5,46.075,53.33,81.925,73.6633333333333,97.1269230769231,46.075,53.33,72.6875,66.7076923076923
35,13,4,7,89,0,1,"2212",27,"TT","O","",2022,0,15.7136514983352,15.7136514983352,15.7136514983352,6482.2,8566.7,77.1690476190476,101.984523809524,1612,90.1,50.8625,114.4,88.31,92.38,82.5791666666667,42.8,114.4,97.0428571428571,98.4916666666667
29,25,15,22,63,0,2,"2212",29,"TT","O","",2022,0,18.9988901220866,18.9988901220866,18.9988901220866,6624.1,6656.1,77.9305882352941,78.3070588235294,1558,90.1,52.125,54.79,63.915,73.93,99.092,46.8333333333333,54.79,52.28,68.952
41,11,26,24,50,2,0,"2212",1,"TT","O","",2022,1,15.3190713886143,14.5605172452846,19.1118421052632,4695.14,4001.54,69.2763855421687,83.6575640744797,903.6,58.74,32.0875,35.02,40.18,57.3466666666667,91.7607142857143,32.0875,35.02,38.6388888888889,57.5821428571429
50,24,15,48,37,1,1,"2212",7,"TT","O","",2022,1,23.4928580971173,23.4790114158871,23.562091503268,5782,5693.56,74.236719797927,77.6799184159336,1809.6,76.56,42.1875,55.45,65.455,61.9566666666667,82.4379310344828,42.1875,55.45,66.7789473684211,62.7034482758621
38,17,0,34,66,0,0,"2212",9,"TT","O","",2022,1,21.4109106720549,20.7685026425315,24.6229508196721,3245.02,3305.1,57.2783137254902,82.3386274509804,1000.4,46.42,43.025,106.42,78.53,73.7466666666667,96.8448275862069,41.3857142857143,106.42,79.7947368421053,74.4103448275862
