"TMQUADB","TMQUADD","TIMEINN","TIMEMID","TIMEOUT","ANCROSB","ANCROSD","GROUP","NUMBER","COND","AGE","SLGROUP","YEAR","BLOCK","BSPEED","BSPEEDTT","BSPEEDFS","TTCUMDS","TTCUMDSO","TTAVDS","TTAVDSO","TTPATH","TTLAT","TAVDS08","TAVDS10","TAVDS20","TAVDS30","TAVDSO30","TAVDS08A","TAVDS10A","TAVDS20A","TAVDS30A"
40,2,20,7,73,4,0,"2301",1,"TT","O","",2023,0,11.3815793302453,11.3815793302453,11.3815793302453,2494,4562.5,60.8292682926829,111.280487804878,580,45.5,47.2125,69.6,58.98,64.11,123.507692307692,48.35,69.6,61.63125,66.5307692307692
22,19,14,32,54,0,0,"2301",3,"TT","O","",2023,0,12.6903440621532,12.6903440621532,12.6903440621532,6712.9,7110.9,77.1597701149425,81.7344827586207,1626,90.1,52.225,77.66,67.255,76.5633333333333,66.7518518518519,47.22,77.66,67.9352941176471,78.0259259259259
30,25,18,22,60,4,0,"2301",4,"TT","O","",2023,0,23.9774461986027,23.9774461986027,23.9774461986027,3983.2,4574,73.7629629629629,84.7037037037037,1367,55.6,51.0125,53.29,62.47,74.01,93.4103448275862,51.0125,53.29,62.0526315789474,74.1344827586207
16,52,8,31,61,1,1,"2301",9,"TT","O","",2023,0,25.5720463271152,25.5720463271152,25.5720463271152,8079.4,6271.9,90.7797752808989,70.4707865168539,1894,90.1,49.0625,94.14,75.475,67.6766666666667,86.451724137931,49.0625,94.14,75.7473684210526,67.5862068965517
31,26,6,14,80,0,1,"2301",10,"TT","O","",2023,0,22.2882874473565,22.2882874473565,22.2882874473565,7580,7632.4,85.1685393258427,85.7573033707865,1942,90.1,54.8125,60.64,68.73,81.7133333333333,85.9827586206897,54.8125,60.64,69.2578947368421,82.5068965517241
0,55,0,20,80,0,0,"2301",1,"TT","O","",2023,1,10.8428745500962,11.3815793302453,8.14935064935065,4931.78,5013.3,70.5125289384677,84.9803970154688,707,65.7,103.85,114.34,109.715,113.473333333333,54.4176470588235,112.7,115.2,115.2,118.605882352941
49,5,30,26,44,1,0,"2301",3,"TT","O","",2023,1,13.1781005712748,12.6903440621532,15.6168831168831,6347.48,6407.26,73.5652733389403,74.7519091673675,1143.4,90.1,24.8,38.99,46.025,56.6,93.2916666666667,24.8,38.99,38.5928571428571,54.9083333333333
21,11,23,49,28,1,0,"2301",4,"TT","O","",2023,1,23.9638891481863,23.9774461986027,23.8961038961039,2258.28,2756.1,58.8968867377916,81.9499309046752,890.8,36.36,52.9625,84.03,74.155,71.4566666666667,86.6769230769231,39.85,84.03,69.7125,68.3076923076923
35,18,4,36,60,0,0,"2301",8,"TT","O","",2023,1,22.402340498794,21.7659254816697,25.5844155844156,4967.38,4908.04,74.7300088090205,90.448791402396,1357.4,60.26,42.625,101.38,79.405,74.94,92.6222222222222,37.4,101.38,76.0705882352941,72.3444444444444
35,36,34,38,28,2,1,"2301",9,"TT","O","",2023,1,25.8461766857568,25.5720463271152,27.2168284789644,3317.24,3009.48,66.8857800476677,75.8980020429009,1074,42.96,29.3375,33.6,59.585,68.1033333333333,69.237037037037,29.3375,33.6,53.7588235294118,65.3814814814815
