AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1,1,1,1,2305,1,,2023,34.525,42.26,66.42,77.49666667,34.525,42.26,49.03571429,70.125,1.22,1.23,1.34,1.26,13.4875,36.26,28.535,34.57,10.75,36.26,26.69375,34.36538462,1.47,1.42,1.57,1.43,37.725,41.02,65.895,63.86,37.725,41.02,44.83333333,51.63181818,1.52,1.42,1.57,1.43,31.4,36.08,45.7,51.96333333,31.4,36.08,43.10555556,50.74285714,34.525,16.43160659,55.63342775,47.8264811,42.26,44.49723255,58.43439959,51.39719984,66.42,38.30338564,103.7701177,71.96743875,77.49666667,43.54122325,91.21449755,74.22188132,34.525,13.0965539,55.63342775,47.8264811,42.26,44.49723255,58.43439959,51.39719984,49.03571429,35.83182058,70.60262956,67.88175994,70.125,43.28350835,73.7483613,72.47861288,154.4165154,196.588832,280.460942,286.4742688,119.8915154,154.328832,214.040942,208.9776021,151.0814628,196.588832,223.3519244,259.6354825,116.5564628,154.328832,174.3162101,189.5104825
O,1,1,1,1,2305,2,,2023,39.5,53.46,67.54,77.67,38.925,53.46,50.26923077,70.99130435,1.22,1.23,1.34,1.26,32.6625,76.25,56.445,62.19,26.6,76.25,56.87777778,62.87857143,1.47,1.42,1.57,1.43,36.15,48.21,65.25,60.13333333,36.15,48.21,50.62666667,50.336,1.52,1.42,1.57,1.43,29.0375,64.04,55.315,53.52,29.0375,64.04,53.35555556,52.13214286,39.5,39.7922039,53.3107598,44.22807149,53.46,93.57181418,68.67680167,91.22718064,67.54,75.76781504,102.7543847,87.10894693,77.67,78.32885952,85.89150933,76.44534777,38.925,32.40635664,53.3107598,44.22807149,53.46,93.57181418,68.67680167,91.22718064,50.26923077,76.34874562,79.7258541,84.02325332,70.99130435,79.19612138,71.89747805,74.46300057,176.8310352,306.9357965,333.1711466,318.3357166,137.3310352,253.4757965,265.6311466,240.6657166,168.8701879,306.9357965,290.3670838,296.5479044,129.9451879,253.4757965,240.097853,225.5566
O,1,1,1,1,2305,3,,2023,59.3125,97.28,89.72,81.78333333,57.51666667,97.28,87.2,78.32916667,1.22,1.23,1.34,1.26,47.325,64.73,60.33,66.57666667,47.325,64.73,60.78421053,67.08965517,1.47,1.42,1.57,1.43,14.9,19.99,49.32,45.04666667,14.9,19.99,33.46875,34.63461538,1.52,1.42,1.57,1.43,47.25,89.23,84.69,75.45,47.25,89.23,84.95789474,75.30689655,59.3125,57.65529428,21.97317624,71.96819209,97.28,79.43480041,28.47644193,127.1112013,89.72,80.98276697,77.66814178,133.3681048,81.78333333,83.85390531,64.34245327,107.7690861,57.51666667,57.65529428,21.97317624,71.96819209,97.28,79.43480041,28.47644193,127.1112013,87.2,81.59246737,52.70591282,133.78998,78.32916667,84.5000189,49.47038898,107.5646842,210.9091626,332.3024436,381.7390135,337.748778,151.5966626,235.0224436,292.0190135,255.9654447,209.1133293,332.3024436,355.2883602,319.8642587,151.5966626,235.0224436,268.0883602,241.535092
O,1,1,1,1,2305,14,,2023,39.3375,54.6,63.63,58.68666667,39.3375,54.6,50.28,49.688,1.22,1.23,1.34,1.26,32.2875,106.48,97.165,79.09666667,32.2875,106.48,101.6666667,80.7,1.47,1.42,1.57,1.43,37.8125,43.53,80.205,71.77666667,37.8125,43.53,70.38125,64.43461538,1.52,1.42,1.57,1.43,21.7125,50.25,57.09,45.41,21.7125,50.25,56.19473684,44.42068966,39.3375,39.33534737,55.76246486,33.0710978,54.6,130.6692036,62.00998085,71.58285177,63.63,130.4274913,126.3052172,89.90418115,58.68666667,99.62295694,102.5222766,64.86142082,39.3375,39.33534737,55.76246486,33.0710978,54.6,130.6692036,62.00998085,71.58285177,50.28,136.4702134,110.8349737,88.49433877,49.688,101.6423696,92.03525003,63.44833836,167.50641,318.8620362,410.2668897,325.6933211,128.16891,264.2620362,346.6368897,267.0066544,167.50641,318.8620362,386.0795259,306.813958,128.16891,264.2620362,335.7995259,257.125958
O,1,1,1,1,2305,21,,2023,34.875,75.47,78.4,64.58333333,34.875,75.47,74.76666667,59.64,1.22,1.23,1.34,1.26,42.825,67.52,64.81,79.64666667,42.825,67.52,66.04444444,81.5,1.47,1.42,1.57,1.43,27.825,31.15,39.815,36.09,27.9,31.15,31.08,30.104,1.52,1.42,1.57,1.43,44.025,59.62,70.43,80.28,44.025,59.62,70.77777778,81.20714286,34.875,52.1730159,41.03380059,67.0560774,75.47,82.85860843,44.37424542,84.93073875,78.4,86.99640522,62.69985939,110.9117442,64.58333333,100.3156868,51.54918911,114.6680217,34.875,52.1730159,41.14440383,67.0560774,75.47,82.85860843,44.37424542,84.93073875,74.76666667,88.65343699,48.94415747,111.4594177,59.64,102.6499767,42.99907977,115.9923071,195.1378939,287.6335926,339.0080088,331.1162309,160.2628939,212.1635926,260.6080088,266.5328976,195.2484971,287.6335926,323.8236788,321.2813636,160.3734971,212.1635926,249.0570121,261.6413636
O,1,1,1,1,2305,22,,2023,40.4,84.19,82.34,75.59,40.4,84.19,78.29375,72.06153846,1.22,1.23,1.34,1.26,44.375,75.06,63.99,60.14666667,44.375,75.06,64.97222222,60.50357143,1.47,1.42,1.57,1.43,35.675,40.94,53.03,48.80666667,35.675,40.94,40.59333333,40.5,1.52,1.42,1.57,1.43,23.825,38.06,39.18,51.83333333,23.825,38.06,36.1,50.75714286,40.4,54.06135624,52.61027264,36.28872332,84.19,92.11148029,58.32043684,54.21777788,82.34,85.89569465,83.51057499,61.69987419,75.59,75.75526297,69.71305319,74.03619568,40.4,54.06135624,52.61027264,36.28872332,84.19,92.11148029,58.32043684,54.21777788,78.29375,87.21416097,63.92556303,56.84955228,72.06153846,76.2047877,57.8482172,72.49901789,183.3603522,288.839695,313.4461438,295.0945118,142.9603522,204.649695,231.1061438,219.5045118,183.3603522,288.839695,286.2830263,278.6135613,142.9603522,204.649695,207.9892763,206.5520228
O,1,1,1,1,2305,25,,2023,55.7625,114.77,90.295,83.70333333,43.025,114.77,93.2375,84.5,1.22,1.23,1.34,1.26,45.55,56.78,72.94,69.67333333,45.55,56.78,74.06315789,70.29655172,1.47,1.42,1.57,1.43,40.1375,44.76,63.175,68.75,40.1375,44.76,55.61176471,64.60740741,1.52,1.42,1.57,1.43,28.4875,54.25,57.61,54.62666667,28.4875,54.25,57.07368421,54.17241379,55.7625,55.49284003,59.19116518,43.3903465,114.77,69.67878831,63.76215811,77.28098922,90.295,97.90954786,99.48671648,90.72306666,83.70333333,87.75418458,98.19913414,78.02605626,43.025,55.49284003,59.19116518,43.3903465,114.77,69.67878831,63.76215811,77.28098922,93.2375,99.41719636,87.576286,89.87848737,84.5,88.5391337,92.2820577,77.37722369,213.8368517,325.4919356,378.414331,347.6827083,158.0743517,210.7219356,288.119331,263.979375,201.0993517,325.4919356,370.1094697,342.6984151,158.0743517,210.7219356,276.8719697,258.1984151
O,1,1,1,1,2305,26,,2023,35.3875,51.32,57.215,67.65666667,25.6,51.32,45.28666667,62.588,1.22,1.23,1.34,1.26,38.0625,50.1,51.47,49.23333333,38.0625,50.1,51.08888889,48.82857143,1.47,1.42,1.57,1.43,29.4,33.24,48.62,45.85333333,28.64,33.24,32.61428571,35.825,1.52,1.42,1.57,1.43,10.875,13.67,29.595,40.59333333,10.875,13.67,25.82777778,38.95714286,35.3875,46.37093795,43.35646855,16.5641077,51.32,61.48128381,47.35152224,19.47338475,57.215,69.08972345,76.56579589,46.60560941,67.65666667,62.00982233,65.49465645,57.98152997,25.6,46.37093795,42.23568909,16.5641077,51.32,61.48128381,47.35152224,19.47338475,45.28666667,68.57814658,51.36031969,40.67306379,62.588,61.5000211,51.17067608,55.6444756,141.6790142,179.6261908,249.4761287,253.1426754,106.2915142,128.3061908,192.2611287,185.4860087,130.7707347,179.6261908,205.8981967,230.9031728,105.1707347,128.3061908,160.6115301,168.3151728
O,1,1,1,1,2305,29,,2023,43.475,78.52,74.295,69.53333333,42.7,78.52,65.65,63.48076923,1.22,1.23,1.34,1.26,39.775,46.93,46.92,53.39333333,39.775,46.93,46.98421053,53.65862069,1.47,1.42,1.57,1.43,50.35,84.97,78.1,84.81,50.35,84.97,73.13125,82.78461538,1.52,1.42,1.57,1.43,28,86.51,62.09,53.91666667,28,86.51,62.26666667,53.44642857,43.475,48.45724945,74.25163916,42.64781754,78.52,57.59115068,121.0426849,123.2364678,74.295,62.9821221,122.9903056,97.77808035,69.53333333,67.24937942,121.1384519,77.01192702,42.7,48.45724945,74.25163916,42.64781754,78.52,57.59115068,121.0426849,123.2364678,65.65,63.06831381,115.1656183,98.05629146,63.48076923,67.58351121,118.2454917,76.34026194,208.8317061,380.3903033,358.0455081,334.9330916,165.3567061,301.8703033,283.7505081,265.3997583,208.0567061,380.3903033,341.9402235,325.650034,165.3567061,301.8703033,276.2902235,262.1692648
O,1,1,1,1,2305,30,,2023,33.4,56.63,56.77,57.74333333,26.46666667,56.63,45.31875,50.84615385,1.22,1.23,1.34,1.26,20.475,36.2,30.775,30.38666667,17.81666667,36.2,29.26111111,29.38571429,1.47,1.42,1.57,1.43,18.4125,39.15,46.625,41.23333333,16.8,39.15,33.02666667,31.996,1.52,1.42,1.57,1.43,20.8125,37.65,62.715,52.17,20.8125,37.65,62.84444444,51.5,33.4,24.94436662,27.15309446,31.70027509,56.63,44.42360227,55.77052033,53.63371879,56.77,41.31020476,73.42411011,98.76231775,57.74333333,38.27227761,58.89567463,74.51707386,26.46666667,21.70576143,24.77512488,31.70027509,56.63,44.42360227,55.77052033,53.63371879,45.31875,39.27806634,52.0097289,98.96616426,50.84615385,37.01156916,45.70151994,73.56007867,117.1977362,210.4578414,270.2666326,229.4283594,83.79773617,153.8278414,213.4966326,171.6850261,104.6478281,210.4578414,235.5727095,207.1193216,78.18116141,153.8278414,190.2539595,156.2731678
Y,1,1,1,1,2305,15,,2023,53.9875,94.3,79.565,72.47,46.6,94.3,76.45882353,69.72592593,1.22,1.23,1.34,1.26,40.2625,57,52.355,57.05,37.65714286,57,52.03157895,57,1.47,1.42,1.57,1.43,42.025,79.57,70.375,67.53333333,42.025,79.57,66.47222222,64.82142857,1.52,1.42,1.57,1.43,39.8,85.58,66.15,72.24,39.8,85.58,66.21052632,72.48965517,53.9875,49.05116294,61.97467996,60.62082636,94.3,69.94876601,113.3501993,121.9116508,79.565,70.27768547,110.8251313,104.1716865,72.47,71.85498369,96.46130704,103.1840793,46.6,45.8770978,61.97467996,60.62082636,94.3,69.94876601,113.3501993,121.9116508,76.45882353,69.8435477,104.6791156,104.2670021,69.72592593,71.79200825,92.58775505,103.5406745,225.6341693,399.5106161,364.8395033,343.97037,171.6466693,305.2106161,285.2745033,271.50037,215.0726041,399.5106161,355.2484889,337.6463637,168.4726041,305.2106161,278.7896654,267.9204378
Y,1,1,1,1,2305,24,,2023,58.5375,67.88,68.175,65.51333333,41.5,67.88,62.6,61.67307692,1.22,1.23,1.34,1.26,31.9875,62.6,55.195,51.09,31.9875,62.6,55.07894737,50.87241379,1.47,1.42,1.57,1.43,23.85,25.22,57.815,54.60666667,23.85,25.22,43.71875,45.43846154,1.52,1.42,1.57,1.43,20.875,34.67,31.1,36.72333333,20.875,34.67,28.83333333,35.66785714,58.5375,38.96986214,35.17182908,31.79547111,67.88,76.82092547,35.92675665,49.38860638,68.175,74.08990258,91.04589653,48.97565307,65.51333333,64.34831055,77.99748924,52.45381143,41.5,38.96986214,35.17182908,31.79547111,67.88,76.82092547,35.92675665,49.38860638,62.6,73.93412166,68.84740619,45.40615209,61.67307692,64.07425878,64.90207389,50.94622092,164.4746623,230.0162885,282.2864522,260.3129446,105.9371623,162.1362885,214.1114522,194.7996112,147.4371623,230.0162885,250.7876799,241.5956305,105.9371623,162.1362885,188.1876799,179.9225536
Y,1,1,1,1,2305,27,,2023,31.075,63.32,59.44,60.62333333,31.075,63.32,51.72941176,55.9,1.22,1.23,1.34,1.26,21.3625,23.73,29.595,28.84,21.3625,23.73,28.02222222,27.775,1.47,1.42,1.57,1.43,24.4375,25.85,40.68,43.2,24.4375,25.85,28.075,35.83076923,1.52,1.42,1.57,1.43,10.525,12.99,29.995,40.43333333,10.525,12.99,26.03333333,38.63214286,31.075,26.02559375,36.03822109,16.03100999,63.32,29.12077574,36.8242133,18.50470138,59.44,39.7262554,64.06204395,47.23552134,60.62333333,36.32423716,61.70476502,57.7529938,31.075,26.02559375,36.03822109,16.03100999,63.32,29.12077574,36.8242133,18.50470138,51.72941176,37.61506866,44.21194405,40.99676854,55.9,34.98286016,51.17891657,55.18026151,109.1698248,147.7696904,210.4638207,216.4053293,78.09482483,84.44969042,151.0238207,155.781996,109.1698248,147.7696904,174.553193,197.2420382,78.09482483,84.44969042,122.8237812,141.3420382
