TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
21,30,2,7,91,0,0,2306,2,TT,O,,2023,0,20.9029151,20.9029151,20.9029151,7892.3,7856.5,89.68522727,89.27840909,1694,90.1,40.7375,106.23,75.25,69.60666667,95.97142857,39.7,106.23,77.12222222,70.40714286
23,36,2,8,90,0,0,2306,3,TT,O,,2023,0,19.2208657,19.2208657,19.2208657,8075.8,7114.9,91.77045455,80.85113636,1800,90.1,59.2625,116.44,100.34,88.71333333,89.38214286,59.2625,116.44,104.55,90.58928571
21,28,3,17,80,0,0,2306,4,TT,O,,2023,0,22.94142311,22.94142311,22.94142311,7868.2,7468.6,88.40674157,83.91685393,2066,90.1,44.0625,94.78,72.48,82.08,93.97241379,44.0625,94.78,72.60526316,82.49310345
32,16,4,20,76,0,0,2306,5,TT,O,,2023,0,20.81439397,20.81439397,20.81439397,6655.1,8084.2,75.62613636,91.86590909,1637,90.1,45.5,49.01,61.715,77.52666667,96.65714286,45.5,49.01,60.20555556,77.68571429
21,31,6,13,81,0,0,2306,6,TT,O,,2023,0,24.95544268,24.95544268,24.95544268,7951.7,7190.5,89.34494382,80.79213483,2576,90.1,67.5875,75.8,88.925,90.73666667,83.4137931,67.5875,75.8,89.86315789,91.4137931
27,22,10,17,73,0,0,2306,7,TT,O,,2023,0,20.23875709,20.23875709,20.23875709,6943.3,7693.3,78.90113636,87.42386364,1743,90.1,46.4875,101.58,77.055,83.46666667,90.975,46.4875,101.58,77.66111111,84.31428571
31,24,11,14,75,0,1,2306,10,TT,O,,2023,0,17.79803294,17.79803294,17.79803294,6939.9,7378.4,78.8625,83.84545455,1401,90.1,45.7,62.05,55.775,62.91,88.94285714,42.83333333,62.05,55.22777778,63.06785714
18,31,2,13,85,0,0,2306,13,TT,O,,2023,0,24.9319453,24.9319453,24.9319453,8154,7275.7,91.61797753,81.7494382,2199,90.1,52.7375,108.49,98.875,87.27333333,79.74482759,52.7375,108.49,100.6526316,88.03793103
11,23,5,8,87,0,0,2306,14,TT,O,,2023,0,20.35240707,20.35240707,20.35240707,7860,7838.4,89.31818182,89.07272727,1708,90.1,52.35,116.88,88.315,96.95666667,78.16428571,50.68333333,116.88,91.75555556,99.78571429
45,24,30,26,44,1,1,2306,15,TT,O,,2023,0,17.24650831,17.24650831,17.24650831,1853.8,2344.4,61.79333333,78.14666667,596,32.6,31.925,86.14,79.4,65.04666667,76.22857143,31.925,86.14,80.59444444,64.78928571
42,16,6,12,82,0,0,2306,23,TT,O,,2023,0,19.43356739,19.43356739,19.43356739,6526.3,8509.6,74.1625,96.7,1389,90.1,55.2875,84.32,71.4,75.72,92.25357143,52.38333333,84.32,71.41666667,76.03928571
23,20,6,11,83,0,0,2306,24,TT,O,,2023,0,20.03617813,20.03617813,20.03617813,7410.4,7637.6,84.20909091,86.79090909,1582,90.1,53.725,106.85,82.775,74.96666667,80.70714286,53.725,106.85,84.01666667,75.20714286
23,29,11,20,69,0,0,2306,26,TT,O,,2023,0,21.93130865,21.93130865,21.93130865,7248.4,7338.6,82.36818182,83.39318182,2007,90.1,62.0375,97.68,86.96,78.33333333,82.25,62.0375,97.68,89.32777778,79.23928571
38,20,11,27,62,2,0,2306,38,TT,O,,2023,0,23.84401351,23.84401351,23.84401351,6617,7790.3,74.34831461,87.53146067,2197,90.1,46.55,100.62,81.48,70.86333333,91.04482759,46.55,100.62,82.65789474,71.26896552
5,51,21,37,42,1,3,2306,39,TT,O,,2023,0,24.11393707,24.11393707,24.11393707,6183.8,3454.6,95.13538462,53.14769231,1502,66.4,80.7,99.72,95.97,93.76333333,41.41034483,80.7,99.72,97.22105263,94.50689655
27,23,0,0,100,0,0,2306,40,TT,O,,2023,0,24.1509434,24.1509434,24.1509434,7654.8,8368.5,86.00898876,94.02808989,2339,90.1,59.2375,112.03,87.005,83.06666667,96.95862069,59.2375,112.03,87.69473684,83.38275862
22,23,8,11,81,0,1,2306,42,TT,O,,2023,0,20.19101271,20.19101271,20.19101271,7365,7546.3,83.69318182,85.75340909,1922,90.1,48.0125,58.33,62.605,70.75666667,94.37857143,48.0125,58.33,61.30555556,70.50357143
14,37,5,62,33,1,0,2306,2,TT,O,,2023,1,20.31811871,20.9029151,17.39413681,6110.94,6377.84,81.87683946,85.5836824,1586.8,77.74,43.95,73.31,74.51,87.33,70.875,39.2,73.31,65.49285714,85.275
12,14,10,36,54,0,1,2306,3,TT,O,,2023,1,19.95137077,19.2208657,23.6038961,7700.02,7386.9,88.67580214,85.13875668,1731.8,90.1,59.0875,70.54,76.75,80.56,88.74615385,59.0875,70.54,74.2625,79.61538462
38,21,11,33,56,1,0,2306,4,TT,O,,2023,1,23.07550731,22.94142311,23.74592834,4981.9,4802.64,71.08984603,76.70475655,1453.6,61.68,42.5875,104.82,81.33,73.15333333,89.09230769,28.375,104.82,78.425,70.10769231
