AGE,MULT08B1,MULT10B1,MULT20B1,MULT30B1,GROUP,NUMBER,SLGROUP,YEAR,TAV08B1,TAV10B1,TAV20B1,TAV30B1,TAV08AB1,TAV10AB1,TAV20AB1,TAV30AB1,MULT08B2,MULT10B2,MULT20B2,MULT30B2,TAV08B2,TAV10B2,TAV20B2,TAV30B2,TAV08AB2,TAV10AB2,TAV20AB2,TAV30AB2,MULT08B3,MULT10B3,MULT20B3,MULT30B3,TAV08B3,TAV10B3,TAV20B3,TAV30B3,TAV08AB3,TAV10AB3,TAV20AB3,TAV30AB3,MULT08B4,MULT10B4,MULT20B4,MULT30B4,TAV08B4,TAV10B4,TAV20B4,TAV30B4,TAV08AB4,TAV10AB4,TAV20AB4,TAV30AB4,IDX08B1,IDX08B2,IDX08B3,IDX08B4,IDX10B1,IDX10B2,IDX10B3,IDX10B4,IDX20B1,IDX20B2,IDX20B3,IDX20B4,IDX30B1,IDX30B2,IDX30B3,IDX30B4,IDX08AB1,IDX08AB2,IDX08AB3,IDX08AB4,IDX10AB1,IDX10AB2,IDX10AB3,IDX10AB4,IDX20AB1,IDX20AB2,IDX20AB3,IDX20AB4,IDX30AB1,IDX30AB2,IDX30AB3,IDX30AB4,IDX08_4,IDX10_4,IDX20_4,IDX30_4,IDX08_3,IDX10_3,IDX20_3,IDX30_3,IDX08A_4,IDX10A_4,IDX20A_4,IDX30A_4,IDX08A_3,IDX10A_3,IDX20A_3,IDX30A_3
O,1.00,1.00,1.00,1.00,2310,1,,2023,38.1375,58.33,60.11,69.476666667,34.883333333,58.33,51.406666667,66.128,1.22,1.23,1.34,1.26,39.95,43.19,54.785,63.356666667,39.95,43.19,45.366666667,59.42,1.47,1.42,1.57,1.43,29.3,34.35,33.965,41.7,27.016666667,34.35,32.105555556,41.057142857,1.52,1.42,1.57,1.43,28.7125,46.91,48.695,46.986666667,28.7125,46.91,47.816666667,46.3,38.1375,48.670449163,43.208997567,43.73305218,58.33,53.001529892,48.932755388,66.824906994,60.11,73.539547294,53.487397314,76.683904378,69.476666667,79.798286594,59.562238454,67.113454296,34.883333333,48.670449163,39.84174349,43.73305218,58.33,53.001529892,48.932755388,66.824906994,51.406666667,60.897036212,50.559181686,75.30072275,66.128,74.840019826,58.644012784,66.132653247,173.74999891,227.08919227,263.82084899,275.95064601,135.61249891,168.75919227,203.71084899,206.47397934,167.12857817,227.08919227,238.16360732,265.74468586,132.24524483,168.75919227,186.75694065,199.61668586
O,1.00,1.00,1.00,1.00,2310,2,,2023,45.6375,60.95,71.93,70.186666667,45.6375,60.95,60.913333333,63.228,1.22,1.23,1.34,1.26,48.85,78.13,69.645,73.846666667,29.625,78.13,64.83125,71.530769231,1.47,1.42,1.57,1.43,29.1375,92.46,62.965,58.56,27.157142857,92.46,64.316666667,59.114285714,1.52,1.42,1.57,1.43,30.7125,63.04,83.615,70.796666667,30.7125,63.04,84.610526316,71.006896552,45.6375,59.513177512,42.969357222,46.779324862,60.95,95.878896283,131.71244725,89.802646278,71.93,93.486570618,99.156012715,131.67521644,70.186666667,93.010535129,83.644237023,101.12249261,45.6375,36.091665994,40.048905107,46.779324862,60.95,95.878896283,131.71244725,89.802646278,60.913333333,87.024929734,101.28459013,133.24295121,63.228,90.093641659,84.435951601,101.42277468,194.8993596,378.34398981,396.24779977,347.96393143,149.2618596,317.39398981,324.31779977,277.77726476,168.55739596,378.34398981,382.46580442,339.18036794,122.91989596,317.39398981,321.55247108,275.95236794
O,1.00,1.00,1.00,1.00,2310,7,,2023,41.0875,70.51,66.575,63.726666667,32.3,70.51,60.75625,59.707692308,1.22,1.23,1.34,1.26,32.2125,41.51,60.13,52.896666667,32.2125,41.51,49.6875,45.357692308,1.47,1.42,1.57,1.43,32.225,31.31,43.85,41.776666667,32.225,31.31,41.577777778,40.167857143,1.52,1.42,1.57,1.43,17.1125,25.95,34.015,36.413333333,17.1125,25.95,32.116666667,35.364285714,41.0875,39.243976062,47.522523775,26.064670629,70.51,50.939882052,44.602170923,36.966666734,66.575,80.714300973,69.054096046,53.566136306,63.726666667,66.623823326,59.671745367,52.011022612,32.3,39.243976062,47.522523775,26.064670629,70.51,50.939882052,44.602170923,36.966666734,60.75625,66.697020282,65.475846295,50.57667924,59.707692308,57.128417899,57.373800607,50.512614352,153.91867047,203.01871971,269.90953332,242.03325797,112.83117047,132.50871971,203.33453332,178.3065913,145.13117047,203.01871971,243.50579582,224.72252517,112.83117047,132.50871971,182.74954582,165.01483286
O,1.00,1.00,1.00,1.00,2310,8,,2023,32.2875,78.94,68.66,64.593333333,32.2875,78.94,62.48125,60.165384615,1.22,1.23,1.34,1.26,26.075,70.25,62.285,52.006666667,26.075,70.25,56.375,46.788461538,1.47,1.42,1.57,1.43,33.8875,65.8,79.995,67.51,33.8875,65.8,81.310526316,67.94137931,1.52,1.42,1.57,1.43,33.275,42.54,51.285,67.416666667,33.275,42.54,52.755555556,69.514285714,32.2875,31.766757495,49.974228841,50.682361735,78.94,86.208786175,93.734361121,60.599691825,68.66,83.607022053,125.97451341,80.762584167,64.593333333,65.50286039,96.42797885,96.294666086,32.2875,31.766757495,49.974228841,50.682361735,78.94,86.208786175,93.734361121,60.599691825,62.48125,75.673851943,128.04617774,83.078385412,60.165384615,58.930484503,97.044139937,99.290802438,164.71084807,319.48283912,359.00411963,322.81883866,132.42334807,240.54283912,290.34411963,258.22550533,164.71084807,319.48283912,349.27966509,315.43081149,132.42334807,240.54283912,286.79841509,255.26542688
O,1.00,1.00,1.00,1.00,2310,9,,2023,36.25,40.95,64.765,65.84,36.25,40.95,51.613333333,58.164,1.22,1.23,1.34,1.26,22.0375,46.97,48.745,48.943333333,20.985714286,46.97,39.746666667,43.584,1.47,1.42,1.57,1.43,19.4,51.69,38.7,34.13,19.4,51.69,37.338888889,32.928571429,1.52,1.42,1.57,1.43,25.225,31.03,40.87,38.24,25.225,31.03,38.816666667,36.732142857,36.25,26.847935505,28.609370403,38.421114192,40.95,57.640237532,73.634181252,44.203301301,64.765,65.431874287,60.943979863,64.361252119,65.84,61.644564742,48.749621066,54.620143848,36.25,25.566561709,28.609370403,38.421114192,40.95,57.640237532,73.634181252,44.203301301,51.613333333,53.353141793,58.800529523,61.127704178,58.164,54.894436622,47.033559314,52.466394527,130.1284201,216.42772009,255.50210627,230.85432966,93.8784201,175.47772009,190.73710627,165.01432966,128.8470463,216.42772009,224.89470883,212.55839046,92.597046305,175.47772009,173.28137549,154.39439046
O,1.00,1.00,1.00,1.00,2310,13,,2023,48.025,70.04,77.175,77.053333333,45.766666667,70.04,64.435714286,69.591666667,1.22,1.23,1.34,1.26,40.3,80.54,74.83,86.116666667,32.3,80.54,65.293333333,82.652,1.47,1.42,1.57,1.43,39.525,89.5,66.935,74.253333333,34.266666667,89.5,67.288888889,75.003571429,1.52,1.42,1.57,1.43,34.7625,54.53,47.105,45.196666667,34.7625,54.53,46.933333333,44.95,48.025,49.096848592,58.287905421,52.948027041,70.04,98.836379197,127.49582554,77.679858844,77.175,100.4465515,105.40788869,74.18000443,77.053333333,108.46470954,106.05982604,64.556705931,45.766666667,39.350575919,50.533389646,52.948027041,70.04,98.836379197,127.49582554,77.679858844,64.435714286,87.64519804,105.96518577,73.909667224,69.591666667,104.10093098,107.13142941,64.204379341,208.35778105,374.05206358,357.20944462,356.13457484,160.33278105,304.01206358,280.03444462,279.08124151,188.59865927,374.05206358,331.95576532,345.02840639,142.83199261,304.01206358,267.52005104,275.43673973
O,1.00,1.00,1.00,1.00,2310,14,,2023,36.8875,41.63,59.375,74.796666667,26.9,41.63,40.153846154,68.626086957,1.22,1.23,1.34,1.26,45.1125,50.99,73.99,68.986666667,45.1125,50.99,67.806666667,64.276,1.47,1.42,1.57,1.43,26.45,43.81,37.525,37.173333333,24.257142857,43.81,36.488888889,36.482142857,1.52,1.42,1.57,1.43,23.6125,28.82,32.36,35.88,23.6125,28.82,30.511111111,34.942857143,36.8875,54.959840747,39.006074596,35.965056843,41.63,62.573466293,62.408850467,41.055080357,59.375,99.318994328,59.093613549,50.959875668,74.796666667,86.889321795,53.096569404,51.249235389,26.9,54.959840747,35.772246645,35.965056843,41.63,62.573466293,62.408850467,41.055080357,40.153846154,91.018920693,57.461966658,48.048282717,68.626086957,80.956195125,52.109306767,49.910666413,166.81847219,207.66739712,268.74748355,266.03179325,129.93097219,166.03739712,209.37248355,191.23512659,153.59714424,207.66739712,236.68301622,251.60225526,126.69714424,166.03739712,196.52917007,182.9761683
O,1.00,1.00,1.00,1.00,2310,15,,2023,47.9125,49.39,76.875,82.456666667,47.9125,49.39,66.293333333,77.224,1.22,1.23,1.34,1.26,27.9125,65.52,59.79,75.12,27.566666667,65.52,54.706666667,75.136,1.47,1.42,1.57,1.43,40.0875,112.2,80.605,70.686666667,40.0875,112.2,81.389473684,70.85862069,1.52,1.42,1.57,1.43,38.375,44.65,51.99,52.14,38.375,44.65,52.972222222,52.782142857,47.9125,34.0053545,59.117429692,58.450357072,49.39,80.404265768,159.83275559,63.605459332,76.875,80.257908783,126.93512912,81.872803955,82.456666667,94.614309816,100.96537399,74.474223333,47.9125,33.584031254,59.117429692,58.450357072,49.39,80.404265768,159.83275559,63.605459332,66.293333333,73.434398113,128.17050246,83.419587711,77.224,94.634461959,101.2109847,75.391428752,199.48564126,353.23248069,365.94084186,352.51057381,151.57314126,303.84248069,289.06584186,270.05390714,199.06431802,353.23248069,351.31782162,348.46087541,151.15181802,303.84248069,285.02448829,271.23687541
O,1.00,1.00,1.00,1.00,2310,20,,2023,39.15,51.99,62.385,76.21,37.666666667,51.99,48.226666667,70.48,1.22,1.23,1.34,1.26,38.5,86.24,81.79,70.083333333,38.5,86.24,79.34375,66.776923077,1.47,1.42,1.57,1.43,32.075,68.75,54.18,66.186666667,32.075,68.75,53.889473684,66.410344828,1.52,1.42,1.57,1.43,42.0125,80.02,73.22,68.96,42.0125,80.02,73.668421053,69.106896552,39.15,46.903937241,47.301317303,63.990765511,51.99,105.8312558,97.936737494,113.99123977,62.385,109.78916808,85.321571808,115.30537999,76.21,88.27058324,94.537794304,98.499087861,37.666666667,46.903937241,47.301317303,63.990765511,51.99,105.8312558,97.936737494,113.99123977,48.226666667,106.50549339,84.864056823,116.01154442,70.48,84.10613004,94.857285238,98.708907703,197.34602005,369.74923306,372.80111987,357.5174654,158.19602005,317.75923306,310.41611987,281.3074654,195.86268672,369.74923306,355.60776131,348.15232298,158.19602005,317.75923306,307.38109464,277.67232298
O,1.00,1.00,1.00,1.00,2310,21,,2023,38.2375,84.56,72.305,65.613333333,30.9,84.56,66.8625,61.234615385,1.22,1.23,1.34,1.26,37.8625,57.37,63.39,62.533333333,37.8625,57.37,52.4125,55.646153846,1.47,1.42,1.57,1.43,30.9,55.9,54.385,48.203333333,30.9,55.9,53.778947368,47.593103448,1.52,1.42,1.57,1.43,19.1875,46.47,43.83,37.886666667,19.1875,46.47,43.677777778,37.364285714,38.2375,46.127281137,45.56853327,29.225178536,84.56,70.4028194,79.631470922,66.198111874,72.305,85.090296668,85.644401676,69.022600449,65.613333333,78.761290919,68.851281398,54.115459814,30.9,46.127281137,45.56853327,29.225178536,84.56,70.4028194,79.631470922,66.198111874,66.8625,70.354869445,84.690002208,68.782883962,61.234615385,70.086826945,67.979658905,53.369316436,159.15849294,300.7924022,312.06229879,267.34136546,120.92099294,216.2324022,239.75729879,201.72803213,151.82099294,300.7924022,290.69025562,252.67041767,120.92099294,216.2324022,223.82775562,191.43580229
O,1.00,1.00,1.00,1.00,2310,22,,2023,30.3125,60.37,59.59,55.736666667,30.3125,60.37,51.6125,50.234615385,1.22,1.23,1.34,1.26,44.8875,76.51,70.325,64.583333333,44.8875,76.51,66.225,61.176923077,1.47,1.42,1.57,1.43,36.1625,33.76,43.905,56.33,36.1625,33.76,43.205555556,56.767857143,1.52,1.42,1.57,1.43,21.3,61.98,48.255,39.94,21.3,61.98,49.872222222,40.385714286,30.3125,54.685726829,53.32919367,32.442804056,60.37,93.890878723,48.092280113,88.292639853,59.59,94.399354996,69.140708937,75.991001248,55.736666667,81.343284198,80.459014199,57.04834062,30.3125,54.685726829,53.32919367,32.442804056,60.37,93.890878723,48.092280113,88.292639853,51.6125,88.895802127,68.039237926,78.537770202,50.234615385,77.052880107,81.084427906,57.684977084,170.77022455,290.64579869,299.12106518,274.58730568,140.45772455,230.27579869,239.53106518,218.85063902,170.77022455,290.64579869,287.08531026,266.05690048,140.45772455,230.27579869,235.47281026,215.8222851
