TMQUADB,TMQUADD,TIMEINN,TIMEMID,TIMEOUT,ANCROSB,ANCROSD,GROUP,NUMBER,COND,AGE,SLGROUP,YEAR,BLOCK,BSPEED,BSPEEDTT,BSPEEDFS,TTCUMDS,TTCUMDSO,TTAVDS,TTAVDSO,TTPATH,TTLAT,TAVDS08,TAVDS10,TAVDS20,TAVDS30,TAVDSO30,TAVDS08A,TAVDS10A,TAVDS20A,TAVDS30A
39,27,25,19,56,1,2,2311,1,TT,O,,2023,0,13.391073427,13.391073427,13.391073427,6249.5,7252.5,71.833333333,83.362068966,1329,90.1,39.3875,53.07,48.9,53.556666667,117.18518519,38.042857143,53.07,46.882352941,52.803703704
26,27,8,29,63,0,0,2311,2,TT,O,,2023,0,19.867754543,19.867754543,19.867754543,7103.9,7473.3,80.726136364,84.923863636,1644,90.1,46.825,47.37,58.11,76.916666667,70.096428571,46.825,47.37,57.994444444,78.185714286
15,36,14,29,57,0,1,2311,4,TT,O,,2023,0,20.829056035,20.829056035,20.829056035,7459,6456.1,84.761363636,73.364772727,2149,90.1,37.775,85.74,93.61,82.99,76.832142857,37.775,85.74,96.872222222,84.328571429
33,20,3,24,73,1,0,2311,7,TT,O,,2023,0,21.967624598,21.967624598,21.967624598,7262,7384.8,82.522727273,83.918181818,1348,90.1,39.975,46.1,45.495,49.286666667,111.29642857,39.975,46.1,44.005555556,48.6
18,24,14,11,75,1,0,2311,10,TT,O,,2023,0,18.377861973,18.377861973,18.377861973,7234,7343.3,82.204545455,83.446590909,1592,90.1,55.175,62.08,67.595,82.936666667,70.353571429,55.175,62.08,68.633333333,84.7
27,24,7,13,80,0,1,2311,23,TT,O,,2023,0,19.009988901,19.009988901,19.009988901,7250.6,7424.4,82.393181818,84.368181818,2006,90.1,47.7125,81.22,70.025,82.443333333,80.5,43.166666667,81.22,70.988888889,83.95
20,38,13,32,55,2,0,2311,24,TT,O,,2023,0,19.239454851,19.239454851,19.239454851,2986.7,2318.5,87.844117647,68.191176471,788,36.1,54.1625,113.17,89.42,94.96,59.321428571,54.966666667,113.17,93.605555556,98.046428571
45,17,7,29,64,2,0,2311,25,TT,O,,2023,0,23.481981918,23.481981918,23.481981918,5436.3,7710.1,67.95375,96.37625,1633,81.1,45.325,115.8,87.52,76.116666667,94.620689655,45.325,115.8,88.957894737,76.665517241
57,20,11,16,73,2,0,2311,28,TT,O,,2023,0,19.441831455,19.441831455,19.441831455,4266.1,6202.9,66.6578125,96.9203125,1077,66.7,43.5375,105.2,97.88,80.43,92.546428571,43.5375,105.2,102.46666667,82.132142857
19,33,10,19,71,0,2,2311,33,TT,O,,2023,0,24.137772158,24.137772158,24.137772158,7796.8,6977.9,87.604494382,78.403370787,2065,90.1,62.55,66.44,77.57,89.7,79.055172414,62.55,66.44,78.684210526,90.848275862
38,18,10,17,73,0,1,2311,37,TT,O,,2023,0,15.71809101,15.71809101,15.71809101,6512.3,8093,74.003409091,91.965909091,1544,90.1,62.8875,94.94,83.105,92.006666667,70.971428571,62.8875,94.94,84.744444444,93.696428571
19,2,0,31,69,0,0,2311,1,TT,O,,2023,1,13.161428076,13.391073427,12.01320132,4459.74,5889.82,63.298999898,91.773322256,977.6,71.94,61.025,82.59,84.92,77.963333333,95.546153846,61.025,82.59,87.85625,78.7
31,15,31,49,20,1,0,2311,2,TT,O,,2023,1,20.882120014,19.867754543,25.953947368,4012.92,4407.26,50.353735164,65.805820073,1145.8,57.18,46.9625,53.8,62.145,63.096666667,76.15862069,46.9625,53.8,62.331578947,63.251724138
38,18,20,50,30,1,0,2311,3,TT,O,,2023,1,22.102604886,21.896063156,23.135313531,4440.8,4824.8,65.74082093,83.443956871,1362,60.74,39.0625,62,51.69,64.543333333,80.755172414,39.0625,62,51.705263158,64.996551724
