trial_num,trial_type,protocol_day,new_suffix
1,spatial,1,_s_1
2,spatial,1,_s_2
3,spatial,1,_s_3
4,spatial,2,_s_4
5,spatial,2,_s_5
6,probe,2,_p_1
7,spatial,3,_s_6
8,spatial,3,_s_7
9,spatial,3,_s_8
10,spatial,4,_s_9
11,spatial,4,_s_10
12,probe,4,_p_2
13,spatial,5,_s_11
14,spatial,5,_s_12
15,spatial,5,_s_13
16,spatial,6,_s_14
17,spatial,6,_s_15
18,probe,6,_p_3
19,spatial,7,_s_16
20,spatial,7,_s_17
21,spatial,7,_s_18
22,spatial,8,_s_19
23,spatial,8,_s_20
24,probe,8,_p_4
25,visible,9,_c_1
26,visible,9,_c_2
27,visible,9,_c_3
28,visible,9,_c_4
29,visible,9,_c_5
30,visible,9,_c_6
