GROUP,RAT,SLI
RWM22,10,165.1392178
RWM19,2,151.729293
RWM15,26,142.4286329
RWM19,6,123.495221
RWM17,29,100.0977835
RWM16,10,122.4730339
RWM16,6,132.9862358
RWM19,15,87.25896338
RWM22,19,159.0554136
RWM18,29,120.1675138
RWM18,17,109.9985631
RWM16,17,102.1577224
RWM19,22,152.777314
RWM22,20,147.0181371
RWM18,22,132.3695784
RWM17,8,129.7156744
RWM18,20,177.3493378
RWM14,1,195.3139584
RWM09,52,149.2936975
RWM19,20,140.9079849
RWM13,58,154.3710767
RWM09,55,169.9338994
RWM16,8,116.0643021
RWM14,20,157.6202202
RWM16,22,176.0175959
RWM22,3,130.957772
RWM09,50,195.7271506
RWM13,64,95.21924208
RWM25,12,106.3261152
RWM13,66,162.1821868
RWM13,56,101.4541524
RWM25,18,175.6076783
RWM17,15,173.0335445
RWM19,17,116.1992836
RWM14,3,192.2756673
RWM22,11,193.391314
RWM22,28,205.0437025
RWM14,9,165.8998843
RWM17,2,138.703188
RWM18,2,130.546371
RWM16,27,109.4990582
RWM09,54,107.4716363
RWM18,27,109.4123467
RWM19,27,131.914135
RWM22,29,163.027377
RWM22,2,189.3525502
RWM09,51,213.4898715
RWM17,22,102.4925102
RWM17,18,181.910781
RWM09,59,147.9071451
RWM19,12,112.1070755
RWM14,16,214.2925345
RWM09,56,210.017257
RWM25,9,129.4072682
RWM19,29,154.1136491
RWM13,60,127.3186484
RWM19,8,120.8082741
RWM13,65,114.7754918
RWM13,57,117.3924057
RWM25,21,172.3337276
RWM15,19,182.3591589
RWM22,21,113.1774905
RWM16,15,217.7407945
RWM15,8,187.4312263
RWM17,12,156.7776535
RWM13,62,119.6452177
RWM09,57,148.712044
RWM13,63,84.57516512
RWM15,11,158.5034317
RWM18,15,158.02816
RWM13,61,200.1218089
RWM09,58,178.8346265
RWM15,3,174.9527112
RWM14,13,147.8994093
RWM18,12,113.3451343
RWM22,1,206.2890215
RWM14,24,177.5171794
RWM18,8,130.062994
RWM25,5,136.257364
RWM17,27,180.4383387
RWM14,27,217.5140581
RWM13,59,127.1868572
RWM15,24,184.5780915
RWM17,6,147.2915118
RWM16,2,125.1119378
RWM15,21,213.121996
RWM25,27,227.1128376
RWM15,6,177.1047924
RWM25,25,162.980357
RWM09,53,177.4045674
RWM25,3,169.1124113
RWM13,55,169.8153384
RWM17,20,179.4939543
RWM13,50,165.655378
RWM22,13,175.5538774
RWM13,43,232.9096066
RWM13,47,231.9794676
RWM13,46,162.1567954
RWM22,31,182.3942937
RWM22,5,306.0661671
RWM22,14,239.1350546
RWM13,52,176.5162677
RWM13,54,225.5882626
RWM22,32,183.43632
RWM22,30,158.4770581
RWM13,45,154.5113654
RWM22,23,172.464427
RWM22,12,169.604478
RWM13,42,143.4466362
RWM13,49,165.8288465
RWM22,4,281.7016307
RWM13,44,219.485632
RWM22,22,285.6697472
RWM13,67,201.0963527
RWM13,48,138.6260827
RWM25,7,262.1147239
RWM25,10,269.1647918
RWM17,26,262.235588
RWM22,36,167.9596701
RWM16,21,169.9178747
RWM14,19,226.6417954
RWM15,28,177.3766388
RWM22,18,119.0052487
RWM22,26,156.8298265
RWM15,5,280.5260532
RWM14,6,230.5883339
RWM15,10,281.3202813
RWM22,34,242.9565661
RWM25,22,218.1792733
RWM14,5,247.9064722
RWM22,17,144.0458393
RWM18,18,255.8393189
RWM19,19,177.0307488
RWM17,13,247.2730289
RWM19,14,212.731543
RWM16,11,197.5881117
RWM17,3,219.2911115
RWM15,12,268.6548448
RWM25,8,212.9290294
RWM19,21,191.6036328
RWM16,5,184.0128686
RWM25,6,279.914826
RWM15,16,226.3304255
RWM15,13,160.0958529
RWM15,27,229.3315679
RWM17,16,216.6936405
RWM14,26,296.4808603
RWM17,28,218.9238736
RWM15,25,255.5183124
RWM18,5,200.4756057
RWM17,23,181.6395956
RWM25,23,223.6341467
RWM22,27,148.5002099
RWM17,21,206.4846665
RWM18,23,273.8894196
RWM14,23,285.3777149
RWM19,3,134.5584688
RWM19,28,232.9167485
RWM19,16,214.4339507
RWM15,2,218.7764387
RWM16,23,229.6123809
RWM16,9,218.8767598
RWM25,28,206.4424262
RWM19,24,158.3476801
RWM14,14,253.9150805
RWM19,7,233.2254322
RWM22,9,171.3741671
RWM25,15,226.0462035
RWM25,13,190.5051354
RWM15,23,230.4237871
RWM19,18,302.9270267
RWM16,7,177.8954252
RWM14,28,253.970477
RWM16,18,250.7069483
RWM14,4,189.0500871
RWM16,12,193.5533847
RWM17,10,258.0112132
RWM14,18,252.7389209
RWM15,7,172.9930836
RWM16,20,221.3608565
RWM16,19,182.5017567
RWM15,9,207.4016029
RWM14,7,262.6353561
RWM25,2,272.6292472
RWM14,8,250.327762
RWM19,1,177.4599993
RWM15,20,183.9392082
RWM19,13,168.4991329
RWM17,11,235.8941761
RWM14,22,171.3296436
RWM18,16,232.1895879
RWM17,1,230.8194371
RWM16,16,245.6189227
RWM14,25,280.9506274
RWM19,5,225.347958
RWM19,26,202.0507479
RWM25,14,176.7564802
RWM16,4,252.4739437
RWM16,25,244.0884926
RWM22,7,254.4666112
RWM17,4,241.674983
RWM25,1,266.1845403
RWM14,2,252.1036562
RWM15,17,191.7082179
RWM22,24,214.3433827
RWM18,4,153.6876033
RWM14,10,337.955978
RWM19,10,144.5911508
RWM15,18,265.1083534
RWM19,30,232.2032749
RWM19,23,255.5828966
RWM16,26,266.9753833
RWM17,24,228.354139
RWM25,20,242.2724494
RWM17,17,186.5274568
RWM17,19,230.2817222
RWM15,1,216.5700778
RWM22,15,175.1490123
RWM25,4,247.5201098
RWM14,21,245.0984608
RWM15,15,232.1685102
RWM18,26,177.2536292
RWM19,4,237.9296222
RWM17,30,246.0523427
RWM19,9,184.4936753
RWM22,6,276.5503418
RWM15,14,195.8540185
RWM16,1,194.1474502
RWM18,1,188.5732727
RWM18,10,228.0332778
RWM25,26,236.1540969
RWM25,24,172.9392609
RWM22,33,144.2079584
RWM17,7,289.5023994
RWM25,17,168.5371525
RWM19,25,225.8449046
RWM18,30,154.5804842
RWM22,16,196.0540455
RWM19,11,232.0019759
RWM25,11,256.4222361
RWM22,35,302.1207301
RWM16,28,275.6429068
RWM25,16,179.8786641
RWM25,19,251.988209
RWM17,9,212.8296336
RWM14,17,295.0932049
RWM16,24,199.4737483
RWM16,14,149.8650322
RWM14,12,197.9514092
RWM22,25,254.8282277
RWM17,25,158.6986618
RWM15,22,222.5792975
RWM14,15,311.085499
RWM17,5,229.6061949
RWM17,14,140.3223018
RWM22,8,369.8355544
RWM14,11,221.8419776
RWM16,13,219.9614348
RWM15,4,295.5174902
RWM13,17,145.9988388
RWM13,31,200.8689807
RWM13,24,259.0881537
RWM13,12,162.7796181
RWM13,11,188.6246687
RWM13,22,237.9933786
RWM13,10,216.7030225
RWM13,23,233.8808003
RWM13,16,210.6538491
RWM13,39,235.6775255
RWM13,18,149.8276477
RWM13,15,233.23909
RWM13,9,156.5549074
RWM13,32,278.2390998
RWM13,27,222.0715782
RWM13,34,210.5070604
RWM13,30,212.0427599
RWM13,35,266.1611188
RWM13,6,190.6484383
RWM13,33,250.9773319
