GROUP,RAT,AGE,BLOCK,DAY,TRIAL,TYPE,START,LAT,PATH,CMDS,MNDS,Q1TM,Q2TM,Q3TM,Q4TM,PLTCRS,SPEED,GROUP.RAT,,
RWM09,10,28,Block1,Day01,Trial1,Train,W,19.42,243.75,14181.38,72.73,,,,,,12.55,RWM09.10,,
RWM09,10,28,Block1,Day01,Trial2,Train,S,58.46,1086.47,41928.13,71.67,,,,,,18.59,RWM09.10,,
RWM09,10,28,Block1,Day01,Trial3,Train,E,45.65,948.01,25190.28,55.12,,,,,,20.77,RWM09.10,,
RWM09,10,28,Block1,Day02,Trial1,Train,E,11.21,174.66,3832.84,33.92,,,,,,15.58,RWM09.10,,
RWM09,10,28,Block1,Day02,Trial2,Train,W,54.65,1567.09,35750.6,65.36,,,,,,28.67,RWM09.10,,
RWM09,10,28,Block1,Day02,Trial3,Probe,S,29.93,701.32,20928.67,69.76,6.51,,11.61,,0,23.43,RWM09.10,,
RWM09,10,28,Block2,Day03,Trial1,Train,N,90.09,1856.99,58747.05,65.2,,,,,,20.61,RWM09.10,,
RWM09,10,28,Block2,Day03,Trial2,Train,E,90.09,1526.02,49677.36,55.14,,,,,,16.94,RWM09.10,,
RWM09,10,28,Block2,Day03,Trial3,Train,W,90.09,1489.79,71823.77,79.72,,,,,,16.54,RWM09.10,,
RWM09,10,28,Block2,Day04,Trial1,Train,E,55.16,1113.57,37381.74,67.72,,,,,,20.19,RWM09.10,,
RWM09,10,28,Block2,Day04,Trial2,Train,S,16.92,269.75,8606.92,50.63,,,,,,15.95,RWM09.10,,
RWM09,10,28,Block2,Day04,Trial3,Probe,N,29.93,737.25,23212.21,77.37,7.21,,8.01,,0,24.63,RWM09.10,,
RWM09,10,28,Block3,Day05,Trial1,Train,S,39.44,771.44,22526.3,57.03,,,,,,19.56,RWM09.10,, 
RWM09,10,28,Block3,Day05,Trial2,Train,W,28.93,500.6,17941.94,61.87,,,,,,17.3,RWM09.10,,
