video_id,block,animal,date,time,day_num,trial,trial_type,PlatformQuadrant,StartLocation,Comments,Distance moved Center-point Total cm,Velocity Center-point Mean cm/s,Distance to point Arena (Center) / Center-point Mean cm,Distance to point Arena (Center) / Center-point Total cm,Distance to point SE Platform (Center) / Center-point Mean cm,Distance to point SE Platform (Center) / Center-point Total cm,Distance to point NW Platform (Center) / Center-point Mean cm,Distance to point NW Platform (Center) / Center-point Total cm,Distance to point NE Platform (Center) / Center-point Mean cm,Distance to point NE Platform (Center) / Center-point Total cm,Distance to point SW Platform (Center) / Center-point Mean cm,Distance to point SW Platform (Center) / Center-point Total cm,In zone Arena / Center-point Frequency,In zone Arena / Center-point Cumulative Duration s,In zone Arena / Center-point Latency to First s,In zone Arena / Center-point Cumulative Duration %,In zone NW Quad / Center-point Frequency,In zone NW Quad / Center-point Cumulative Duration s,In zone NW Quad / Center-point Latency to First s,In zone NW Quad / Center-point Cumulative Duration %,In zone NE Quad / Center-point Frequency,In zone NE Quad / Center-point Cumulative Duration s,In zone NE Quad / Center-point Latency to First s,In zone NE Quad / Center-point Cumulative Duration %,In zone SE Quad / Center-point Frequency,In zone SE Quad / Center-point Cumulative Duration s,In zone SE Quad / Center-point Latency to First s,In zone SE Quad / Center-point Cumulative Duration %,In zone SW Quad / Center-point Frequency,In zone SW Quad / Center-point Cumulative Duration s,In zone SW Quad / Center-point Latency to First s,In zone SW Quad / Center-point Cumulative Duration %,In zone SW Annulus / Center-point Frequency,In zone SW Annulus / Center-point Cumulative Duration s,In zone SW Annulus / Center-point Latency to First s,In zone SW Annulus / Center-point Cumulative Duration %,In zone SE Annulus / Center-point Frequency,In zone SE Annulus / Center-point Cumulative Duration s,In zone SE Annulus / Center-point Latency to First s,In zone SE Annulus / Center-point Cumulative Duration %,In zone NE Annulus / Center-point Frequency,In zone NE Annulus / Center-point Cumulative Duration s,In zone NE Annulus / Center-point Latency to First s,In zone NE Annulus / Center-point Cumulative Duration %,In zone NW Annulus / Center-point Frequency,In zone NW Annulus / Center-point Cumulative Duration s,In zone NW Annulus / Center-point Latency to First s,In zone NW Annulus / Center-point Cumulative Duration %,EscapeLatency(s),DistanceMoved(cm),Velocity(cm/s),TotalSearchError(cm*s),MeanSearchError(cm),ProbeWeight,MeanSearchError*ProbeWeight,TimeInQuad(%),TimeInOppoQuad(%),TimeInPrevQuad(%),SLI,rat_source,dob,date_received,sex,AgeMon,strain,genotype,DailyAgeMos,age_mo,group
Statistics-NRIP3A_MWM_SLI_Day01.xlsx,Block1,A105,44251,8:00:00 AM,Day01,Trial1,Train,SW,E,,1675.63,18.6173,77.7798,209928,80.9252,218417,88.1893,238023,76.1521,205535,89.8586,242528,1,90.037,0,100,3,13.7441,23.7185,15.2649,4,34.6271,0,38.4587,4,26.3539,8.33985,29.2701,3,15.312,17.2134,17.0063,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,90.037,1675.63,18.6173,7737.90739,92.15373523,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.7028803,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day01.xlsx,Block1,A105,44251,8:00:00 AM,Day01,Trial2,Train,SW,W,,1661.02,18.4546,69.8049,188403,80.9332,218439,76.0977,205388,70.0974,189193,84.5287,228143,1,90.0389,0,100,5,24.0193,0.333601,26.6765,8,28.8898,4.83721,32.086,4,17.8477,7.33922,19.8222,4,16.6133,0,18.4513,0,0,-,0,0,0,-,0,5,1.26768,6.07154,1.40793,1,0.300241,70.1897,0.333457,90.0389,1661.02,18.4546,7501.977428,86.49458632,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.7028803,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day01.xlsx,Block1,A105,44251,8:00:00 AM,Day01,Trial3,Train,SW,S,,1401.53,15.5712,75.6909,204290,84.269,227442,80.9708,218540,80.0924,216169,83.1219,224346,1,90.0411,0,100,3,26.3885,4.20347,29.3072,4,21.0841,8.94072,23.4161,5,20.7505,0,23.0456,4,19.7497,0.333609,21.934,0,0,-,0,1,0.633857,82.8685,0.703964,2,1.30107,79.2321,1.44498,0,0,-,0,90.0411,1401.53,15.5712,7356.608935,85.41918788,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.7028803,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day02.xlsx,Block1,A105,44252,8:00:00 AM,Day02,Trial1,Train,SW,N,,1881.88,20.9041,74.3435,200728,75.3733,203508,86.3294,233089,80.9282,218506,77.8505,210196,1,90.0577,0,100,5,17.4445,0,19.3704,4,16.2437,1.66773,18.037,4,30.3861,3.83579,33.7407,5,25.5163,6.90442,28.3333,0,0,-,0,0,0,-,0,2,0.166773,2.76844,0.185185,0,0,-,0,90.0577,1881.88,20.9041,6697.818239,79.12173775,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.73573541,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day02.xlsx,Block1,A105,44252,8:00:00 AM,Day02,Trial2,Train,SW,W,,1691.89,18.7977,71.5331,193068,85.3339,230316,74.5691,201262,90.0815,243130,66.4854,179444,1,90.0386,0,100,5,28.0224,6.40512,31.1226,2,7.87296,26.4545,8.74398,3,17.5474,22.0176,19.4887,7,34.7611,0,38.6069,2,0.43368,3.30264,0.48166,0,0,-,0,0,0,-,0,2,0.23352,33.1932,0.259355,90.0386,1691.89,18.7977,5880.532685,67.7531288,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.73573541,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day02.xlsx,Block1,A105,44252,8:00:00 AM,Day02,Trial3,Probe,SW,S,,708.905,23.6237,66.7686,60091.7,84.8406,76356.5,67.5404,60786.4,77.1498,69434.8,73.7346,66361.1,1,30.0415,0,100,2,10.5145,8.54515,35,2,5.60776,13.7524,18.6667,3,5.541,0,18.4444,3,8.37825,0.734349,27.8889,0,0,-,0,0,0,-,0,0,0,-,0,0,0,-,0,30.0415,708.905,23.6237,2131.515761,77.62441458,,,27.8889,18.6667,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.73573541,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day03.xlsx,Block2,A105,44253,8:00:00 AM,Day03,Trial1,Train,SW,S,,2130.03,23.6597,73.0066,197118,75.189,203010,85.6116,231151,79.318,214159,77.611,209550,1,90.0612,0,100,3,20.0803,28.5194,22.2963,5,21.6147,4.66984,24,8,26.8516,0,29.8148,4,21.0476,0.800544,23.3704,0,0,-,0,2,0.16678,11.4745,0.185185,0,0,-,0,0,0,-,0,90.0612,2130.03,23.6597,6904.600239,78.92507243,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.76859052,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day03.xlsx,Block2,A105,44253,8:00:00 AM,Day03,Trial2,Train,SW,N,,1959.53,21.7725,66.3261,179014,82.3209,222184,69.2388,186876,76.4831,206428,71.6327,193337,1,90.0335,0,100,7,28.1542,0,31.2708,8,16.8458,9.37363,18.7106,4,16.112,11.0749,17.8955,5,26.6865,3.76946,29.6406,0,0,-,0,0,0,-,0,5,0.833952,39.3626,0.926268,2,0.233507,7.93923,0.259356,90.0335,1959.53,21.7725,6148.081798,72.46382116,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.76859052,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day03.xlsx,Block2,A105,44253,8:00:00 AM,Day03,Trial3,Train,SW,W,,1495.48,21.6986,62.2172,128603,69.5873,143837,72.5473,149955,69.0924,142814,71.5936,147984,1,68.9539,0,100,6,16.1126,1.46781,23.3672,4,16.1793,4.13657,23.464,4,20.3159,7.17227,29.463,5,12.9768,0,18.8195,1,0.767266,66.919,1.11272,0,0,-,0,0,0,-,0,2,1.33438,3.2025,1.93517,68.9539,1495.48,21.6986,4845.218918,73.25406949,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.76859052,23,Older-Aged
Statistics-NRIP3A_MWM_SLI_Day04.xlsx,Block2,A105,44254,8:00:00 AM,Day04,Trial1,Train,SW,S,,2132.83,23.6913,72.7767,196497,77.687,209755,81.1357,219066,81.5405,220159,76.4728,206477,1,90.0593,0,100,4,24.0825,8.90587,26.7407,5,15.8771,4.93658,17.6296,5,28.3186,0,31.4444,5,21.1806,12.5082,23.5185,0,0,-,0,0,0,-,0,2,0.233488,58.9055,0.25926,0,0,-,0,90.0593,2132.83,23.6913,6802.272941,77.75402228,,,,,,229,NIA,4/5/2019,5-Feb,M,22,F344,WT,22.80144562,23,Older-Aged
