trial_num,trial_type,protocol_day,new_suffix
1,spatial,1,_s_1
2,spatial,1,_s_2
3,spatial,2,_s_3
4,spatial,2,_s_4
5,spatial,3,_s_5
6,spatial,3,_s_6
7,probe,4,_p_1
8,spatial,4,_s_7
9,spatial,4,_s_8
10,spatial,5,_s_9
11,spatial,5,_s_10
12,spatial,6,_s_11
13,spatial,6,_s_12
14,probe,7,_p_2
15,spatial,7,_s_13
16,spatial,7,_s_14
17,spatial,8,_s_15
18,spatial,8,_s_16
19,spatial,9,_s_17
20,spatial,9,_s_18
21,probe,10,_p_3
22,spatial,10,_s_19
23,spatial,10,_s_20
24,spatial,11,_s_21
25,spatial,11,_s_22
26,spatial,12,_s_23
27,spatial,12,_s_24
28,probe,13,_p_4
29,visible,13,_c_1
30,visible,13,_c_2
31,visible,13,_c_3
32,visible,13,_c_4
33,visible,13,_c_5
34,visible,13,_c_6
