subject_id,cage,hole_punch,age,genotype,treatment,sex,cohort,mean_speed_p_4,mean_speed_p_7,mean_speed_p_10,mean_speed_p_13,mean_speed_s_1,mean_speed_s_2,mean_speed_s_3,mean_speed_s_4,mean_speed_s_5,mean_speed_s_6,mean_speed_s_8,mean_speed_s_9,mean_speed_s_10,mean_speed_s_11,mean_speed_s_12,mean_speed_s_13,mean_speed_s_15,mean_speed_s_16,mean_speed_s_17,mean_speed_s_18,mean_speed_s_19,mean_speed_s_20,mean_speed_s_22,mean_speed_s_23,mean_speed_s_24,mean_speed_s_25,mean_speed_s_26,mean_speed_s_27,cum_dist_p_4,cum_dist_p_7,cum_dist_p_10,cum_dist_p_13,cum_dist_s_1,cum_dist_s_2,cum_dist_s_3,cum_dist_s_4,cum_dist_s_5,cum_dist_s_6,cum_dist_s_8,cum_dist_s_9,cum_dist_s_10,cum_dist_s_11,cum_dist_s_12,cum_dist_s_13,cum_dist_s_15,cum_dist_s_16,cum_dist_s_17,cum_dist_s_18,cum_dist_s_19,cum_dist_s_20,cum_dist_s_22,cum_dist_s_23,cum_dist_s_24,cum_dist_s_25,cum_dist_s_26,cum_dist_s_27,date_p_4,date_p_7,date_p_10,date_p_13,date_s_1,date_s_2,date_s_3,date_s_4,date_s_5,date_s_6,date_s_8,date_s_9,date_s_10,date_s_11,date_s_12,date_s_13,date_s_15,date_s_16,date_s_17,date_s_18,date_s_19,date_s_20,date_s_22,date_s_23,date_s_24,date_s_25,date_s_26,date_s_27,datetime_p_4,datetime_p_7,datetime_p_10,datetime_p_13,datetime_s_1,datetime_s_2,datetime_s_3,datetime_s_4,datetime_s_5,datetime_s_6,datetime_s_8,datetime_s_9,datetime_s_10,datetime_s_11,datetime_s_12,datetime_s_13,datetime_s_15,datetime_s_16,datetime_s_17,datetime_s_18,datetime_s_19,datetime_s_20,datetime_s_22,datetime_s_23,datetime_s_24,datetime_s_25,datetime_s_26,datetime_s_27,dist_p_4,dist_p_7,dist_p_10,dist_p_13,dist_s_1,dist_s_2,dist_s_3,dist_s_4,dist_s_5,dist_s_6,dist_s_8,dist_s_9,dist_s_10,dist_s_11,dist_s_12,dist_s_13,dist_s_15,dist_s_16,dist_s_17,dist_s_18,dist_s_19,dist_s_20,dist_s_22,dist_s_23,dist_s_24,dist_s_25,dist_s_26,dist_s_27,duration_s_1,duration_s_2,duration_s_3,duration_s_4,duration_s_5,duration_s_6,duration_s_8,duration_s_9,duration_s_10,duration_s_11,duration_s_12,duration_s_13,duration_s_15,duration_s_16,duration_s_17,duration_s_18,duration_s_19,duration_s_20,duration_s_22,duration_s_23,duration_s_24,duration_s_25,duration_s_26,duration_s_27,time_of_day_p_4,time_of_day_p_7,time_of_day_p_10,time_of_day_p_13,time_of_day_s_1,time_of_day_s_2,time_of_day_s_3,time_of_day_s_4,time_of_day_s_5,time_of_day_s_6,time_of_day_s_8,time_of_day_s_9,time_of_day_s_10,time_of_day_s_11,time_of_day_s_12,time_of_day_s_13,time_of_day_s_15,time_of_day_s_16,time_of_day_s_17,time_of_day_s_18,time_of_day_s_19,time_of_day_s_20,time_of_day_s_22,time_of_day_s_23,time_of_day_s_24,time_of_day_s_25,time_of_day_s_26,time_of_day_s_27
c185mHL,185,HL,7,5xFAD+,Acarbose,M,7,23.675,21.778,22.996,23.9,19.134,17.843,20.81,12.146,11.637,16.061,21.831,20.32,21.333,20.59,24.149,9.527,14.957,22.564,19.959,18.33,10.689,19.652,18.075,23.367,18.285,14.787,24.801,19.315,2857.511,2255.582,1390.368,2674.825,3580.275,2304.699,2810.912,571.564,365.591,1517.343,1508.802,2550.09,2179.773,620.381,1039.251,11.709,16.731,1871.962,426.356,176.799,45.653,128.709,146.566,1013.566,43.883,50.519,1203.622,8.28,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 8:46,7/21/2016 11:55,7/24/2016 10:04,7/27/2016 13:42,7/15/2016 10:36,7/15/2016 10:38,7/16/2016 10:20,7/16/2016 10:21,7/17/2016 10:47,7/17/2016 10:48,7/18/2016 13:55,7/18/2016 13:57,7/19/2016 15:44,7/19/2016 15:45,7/20/2016 15:09,7/20/2016 15:10,7/21/2016 18:35,7/21/2016 18:37,7/22/2016 14:40,7/22/2016 14:41,7/23/2016 9:38,7/23/2016 9:38,7/24/2016 13:59,7/24/2016 14:00,7/25/2016 12:58,7/25/2016 12:59,7/26/2016 16:12,7/26/2016 16:13,1418.34,1305.55,1378.801,1433.854,1146.945,1015.891,1245.922,299.22,288.127,735.177,941.164,1219.127,1062.533,491.781,613.427,84.838,151.832,1282.278,254.013,240.503,99.746,216.365,207.668,708.669,139.643,82.957,892.778,104.494,59.944,56.934,59.871,24.636,24.759,45.773,43.112,59.997,49.807,23.884,25.402,8.905,10.151,56.829,12.727,13.121,9.332,11.01,11.489,30.328,7.637,5.61,35.998,5.41,8:46 AM,11:55 AM,10:04 AM,1:42 PM,10:36 AM,10:38 AM,10:20 AM,10:21 AM,10:47 AM,10:48 AM,1:55 PM,1:57 PM,3:44 PM,3:45 PM,3:09 PM,3:10 PM,6:35 PM,6:37 PM,2:40 PM,2:41 PM,9:38 AM,9:38 AM,1:59 PM,2:00 PM,12:58 PM,12:59 PM,4:12 PM,4:13 PM
c185mHR,185,HR,7,5xFAD+,Acarbose,M,7,22.889,18.905,23.888,18.766,20.544,15.565,21.809,13.056,18.931,18.522,17.67,17.217,18.666,13.32,19.394,6.517,20.121,19.129,20.451,14.179,10.087,19.74,12.81,19.509,21.264,15.551,9.642,23.517,2961.122,1729.596,2278.966,1929.573,3678.47,2560.31,3131.068,2633.384,1716.596,2238.188,1820.176,489.16,1268.522,197.918,3395.018,11.601,246.666,735.2,2762.707,334.162,50.508,1744.809,390.952,1636.858,2070.826,1134.237,39.021,2399.411,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 8:44,7/21/2016 11:53,7/24/2016 10:02,7/27/2016 13:40,7/15/2016 10:32,7/15/2016 10:34,7/16/2016 10:16,7/16/2016 10:18,7/17/2016 10:43,7/17/2016 10:45,7/18/2016 13:53,7/18/2016 13:53,7/19/2016 15:41,7/19/2016 15:42,7/20/2016 15:07,7/20/2016 15:08,7/21/2016 18:33,7/21/2016 18:34,7/22/2016 14:38,7/22/2016 14:39,7/23/2016 9:35,7/23/2016 9:37,7/24/2016 13:57,7/24/2016 13:58,7/25/2016 12:56,7/25/2016 12:57,7/26/2016 16:09,7/26/2016 16:11,1371.977,1132.752,1431.643,1123.776,1230.784,932.726,1307.156,781.509,845.846,1111.109,789.915,339.385,707.468,226.939,1162.107,55.792,228.694,380.157,1223.889,218.292,87.189,898.607,319.605,868.104,1273.994,529.054,91.862,1410.599,59.909,59.925,59.937,59.856,44.681,59.988,44.704,19.712,37.902,17.037,59.921,8.561,11.366,19.873,59.846,15.395,8.644,45.523,24.95,44.498,59.913,34.021,9.527,59.982,8:44 AM,11:53 AM,10:02 AM,1:40 PM,10:32 AM,10:34 AM,10:16 AM,10:18 AM,10:43 AM,10:45 AM,1:53 PM,1:53 PM,3:41 PM,3:42 PM,3:07 PM,3:08 PM,6:33 PM,6:34 PM,2:38 PM,2:39 PM,9:35 AM,9:37 AM,1:57 PM,1:58 PM,12:56 PM,12:57 PM,4:09 PM,4:11 PM
c185mNH,185,NH,7,WT,Acarbose,M,7,19.931,11.835,18.137,15.629,19.876,16.693,19.539,17.325,17.479,16.355,12.347,11.858,11.496,17.747,12.618,15.402,12.57,21.892,9.98,10.756,7.292,7.426,13.486,8.501,10.782,9.719,4.017,18.065,2715.935,3126.557,2654.253,1307.967,3688.788,1614.798,2541.548,2287.4,2219.692,2765.024,4163.483,36.975,2983.525,3754.678,2304.736,784.699,208.132,2599.373,195.215,220.334,53.837,58.221,351.442,30.615,1685.715,76.318,27.67,1396.719,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 8:43,7/21/2016 11:52,7/24/2016 10:00,7/27/2016 13:39,7/15/2016 10:29,7/15/2016 10:30,7/16/2016 10:12,7/16/2016 10:14,7/17/2016 10:39,7/17/2016 10:41,7/18/2016 13:50,7/18/2016 13:51,7/19/2016 15:37,7/19/2016 15:39,7/20/2016 15:04,7/20/2016 15:05,7/21/2016 18:30,7/21/2016 18:32,7/22/2016 14:35,7/22/2016 14:36,7/23/2016 9:33,7/23/2016 9:34,7/24/2016 13:55,7/24/2016 13:55,7/25/2016 12:53,7/25/2016 12:54,7/26/2016 16:07,7/26/2016 16:08,1194.01,709.158,1087.775,936.878,1192.389,608.926,1170.283,925.966,1047.514,979.595,740.055,96.497,689.123,1063.749,755.95,368.26,223.838,1311.828,138.239,218.956,93.535,152.94,304.213,122.533,435.686,88.162,48.999,839.086,59.992,36.478,59.896,53.448,59.929,59.895,59.939,8.138,59.946,59.94,59.91,23.91,17.807,59.924,13.851,20.357,12.827,20.596,22.557,14.414,40.408,9.071,12.198,46.448,8:43 AM,11:52 AM,10:00 AM,1:39 PM,10:29 AM,10:30 AM,10:12 AM,10:14 AM,10:39 AM,10:41 AM,1:50 PM,1:51 PM,3:37 PM,3:39 PM,3:04 PM,3:05 PM,6:30 PM,6:32 PM,2:35 PM,2:36 PM,9:33 AM,9:34 AM,1:55 PM,1:55 PM,12:53 PM,12:54 PM,4:07 PM,4:08 PM
c186mHL,186,HL,7,WT,Control Diet,M,7,21.871,27.464,26.676,26.354,23.189,21.328,19.439,11.309,23.992,11.253,15.391,15.78,22.875,16.526,23.698,11.713,27.752,20.529,26.202,21.67,12.795,26.08,23.897,14.137,15.385,19.127,11.494,14.924,3404.111,2796.435,2140.463,1736.873,3358.085,2861.235,460.459,79.531,2247.031,208.643,546.29,689.861,4079.801,31.691,2340.251,128.994,2758.463,507.477,2230.132,569.296,5.966,1825.874,1259.907,7.454,54.008,706.668,8.156,21.741,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 8:14,7/21/2016 12:05,7/24/2016 10:21,7/27/2016 13:29,7/15/2016 17:23,7/15/2016 17:25,7/16/2016 16:45,7/16/2016 16:45,7/17/2016 11:02,7/17/2016 11:03,7/18/2016 12:54,7/18/2016 12:55,7/19/2016 12:37,7/19/2016 12:38,7/20/2016 11:44,7/20/2016 11:44,7/21/2016 18:54,7/21/2016 18:55,7/22/2016 17:53,7/22/2016 17:53,7/23/2016 10:16,7/23/2016 10:18,7/24/2016 14:23,7/24/2016 14:24,7/25/2016 13:47,7/25/2016 13:48,7/26/2016 13:12,7/26/2016 13:12,1310.517,1646.971,1599.177,1579.124,1391.112,1277.882,442.74,144.885,1437.304,260.717,383.439,433.004,1371.549,134.624,1420.044,145.588,1661.928,366.464,1549.587,365.327,56.107,1419.075,900.806,73.34,206.678,520.915,98.66,135.141,59.991,59.915,22.776,12.812,59.907,23.168,24.913,27.44,59.959,8.146,59.923,12.43,59.885,17.851,59.14,16.859,4.385,54.413,37.696,5.188,13.434,27.234,8.584,9.055,8:14 AM,12:05 PM,10:21 AM,1:29 PM,5:23 PM,5:25 PM,4:45 PM,4:45 PM,11:02 AM,11:03 AM,12:54 PM,12:55 PM,12:37 PM,12:38 PM,11:44 AM,11:44 AM,6:54 PM,6:55 PM,5:53 PM,5:53 PM,10:16 AM,10:18 AM,2:23 PM,2:24 PM,1:47 PM,1:48 PM,1:12 PM,1:12 PM
c186mNH,186,NH,7,WT,Control Diet,M,7,18.673,19.982,9.262,13.894,11.698,6.967,14.6,4.796,14.272,21.611,21.258,17.452,20.337,15.927,17.814,14.111,13.385,15.12,16.616,11.701,14.268,10.486,14.386,11.103,19.258,10.102,9.737,3.244,3035.858,3421.017,3593.586,3520.146,2980.915,1236.144,2363.46,3949.719,3519.734,3913.077,3372.233,3285.828,2924.669,2763.827,3529.298,3823.425,3783.702,3643.904,3394.815,2674.24,3204.467,3831.424,2717.583,2658.475,3065.987,1288.56,1917.229,1305.861,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 10:37,7/21/2016 9:32,7/24/2016 12:19,7/27/2016 11:04,7/15/2016 14:29,7/15/2016 14:30,7/16/2016 12:41,7/16/2016 12:43,7/17/2016 17:05,7/17/2016 17:07,7/18/2016 18:14,7/18/2016 18:16,7/19/2016 13:50,7/19/2016 13:52,7/20/2016 15:34,7/20/2016 15:36,7/21/2016 14:21,7/21/2016 14:22,7/22/2016 15:17,7/22/2016 15:18,7/23/2016 9:41,7/23/2016 9:43,7/24/2016 16:13,7/24/2016 16:15,7/25/2016 10:11,7/25/2016 10:12,7/26/2016 11:50,7/26/2016 11:52,1118.664,1198.498,553.979,832.335,701.262,387.984,875.49,287.073,854.787,1296.076,1272.156,1045.299,1219.12,955.512,1068.497,845.406,803.074,905.978,996.254,701.072,855.761,628.971,862.914,665.263,1154.793,364.211,582.822,194.458,59.948,55.692,59.964,59.852,59.891,59.973,59.844,59.896,59.947,59.994,59.981,59.909,59.997,59.919,59.956,59.913,59.977,59.981,59.981,59.917,59.964,36.052,59.855,59.945,10:37 AM,9:32 AM,12:19 PM,11:04 AM,2:29 PM,2:30 PM,12:41 PM,12:43 PM,5:05 PM,5:07 PM,6:14 PM,6:16 PM,1:50 PM,1:52 PM,3:34 PM,3:36 PM,2:21 PM,2:22 PM,3:17 PM,3:18 PM,9:41 AM,9:43 AM,4:13 PM,4:15 PM,10:11 AM,10:12 AM,11:50 AM,11:52 AM
c191bmHR,191b,HR,7,WT,Acarbose,M,7,20.566,18.199,19.36,15.966,20.691,18.303,8.39,11.498,16.33,18.859,11.058,11.93,18.413,18.476,5.588,11.216,13.561,15.696,10.77,17.198,9.521,12.086,13.476,16.926,10.107,14.323,8.275,9.528,2970.218,3745.499,3511.316,1673.892,4022.971,2429.618,119.768,49.396,829.636,2269.089,348.687,141.452,1194.44,1734.885,12.573,635.284,411.377,445.347,399.521,864.06,194.682,285.855,543.815,1053.688,107.112,1502.778,95.163,32.43,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 8:18,7/21/2016 10:04,7/24/2016 12:34,7/27/2016 12:49,7/15/2016 18:03,7/15/2016 18:04,7/16/2016 10:09,7/16/2016 10:09,7/17/2016 11:43,7/17/2016 11:45,7/18/2016 12:59,7/18/2016 13:00,7/19/2016 18:42,7/19/2016 18:43,7/20/2016 15:01,7/20/2016 15:02,7/21/2016 15:11,7/21/2016 15:11,7/22/2016 17:40,7/22/2016 17:41,7/23/2016 11:15,7/23/2016 11:16,7/24/2016 16:41,7/24/2016 16:42,7/25/2016 11:07,7/25/2016 11:09,7/26/2016 11:26,7/26/2016 11:27,1233.268,1089.033,1158.927,957.076,1239.709,954.739,120.961,162.982,405.055,1113.843,319.439,132.082,694.281,917.943,45.248,265.633,241.046,322.622,303.943,653.611,131.98,248.302,439.165,622.313,189.039,661.52,99.337,160.959,59.916,52.162,14.418,14.175,24.805,59.062,28.887,11.071,37.706,49.682,8.098,23.683,17.775,20.554,28.221,38.004,13.862,20.545,32.588,36.767,18.703,46.187,12.005,16.894,8:18 AM,10:04 AM,12:34 PM,12:49 PM,6:03 PM,6:04 PM,10:09 AM,10:09 AM,11:43 AM,11:45 AM,12:59 PM,1:00 PM,6:42 PM,6:43 PM,3:01 PM,3:02 PM,3:11 PM,3:11 PM,5:40 PM,5:41 PM,11:15 AM,11:16 AM,4:41 PM,4:42 PM,11:07 AM,11:09 AM,11:26 AM,11:27 AM
c191bmNH,191b,NH,7,WT,Acarbose,M,7,24.135,20.713,24.17,23.272,20.528,19.187,15.247,9.871,11.8,15.94,17.507,4.916,17.842,17.978,4.264,9.856,11.501,4.5,5.089,14.921,20.34,16.547,7.691,5.002,14.734,7.501,14.365,14.508,2959.559,3637.605,2656.001,2725.676,2687.004,2901.629,2677.405,438.327,1896.574,1205.077,1049.684,8.182,1169.7,164.706,6.655,95.526,46.88,11.122,33.88,47.392,1935.312,775.973,19.336,16.926,3.697,3.054,397.851,258.387,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 8:17,7/21/2016 10:02,7/24/2016 12:32,7/27/2016 12:48,7/15/2016 17:59,7/15/2016 18:00,7/16/2016 10:06,7/16/2016 10:07,7/17/2016 11:40,7/17/2016 11:42,7/18/2016 12:57,7/18/2016 12:58,7/19/2016 18:40,7/19/2016 18:40,7/20/2016 14:59,7/20/2016 15:00,7/21/2016 15:08,7/21/2016 15:09,7/22/2016 17:38,7/22/2016 17:39,7/23/2016 11:13,7/23/2016 11:14,7/24/2016 16:39,7/24/2016 16:40,7/25/2016 11:05,7/25/2016 11:06,7/26/2016 11:23,7/26/2016 11:24,1444.273,1242.513,1449.843,1395.269,1230.365,1149.162,914.399,247.353,707.269,630.654,443.452,66.326,515.589,186.469,26.98,186.761,170.494,77.192,76.618,177.711,1219.118,474.729,78.083,86.264,75.262,33.13,359.051,258.47,59.936,59.893,59.974,25.058,59.939,39.564,25.33,13.492,28.898,10.372,6.328,18.949,14.824,17.155,15.057,11.91,59.936,28.69,10.152,17.247,5.108,4.417,24.995,17.816,8:17 AM,10:02 AM,12:32 PM,12:48 PM,5:59 PM,6:00 PM,10:06 AM,10:07 AM,11:40 AM,11:42 AM,12:57 PM,12:58 PM,6:40 PM,6:40 PM,2:59 PM,3:00 PM,3:08 PM,3:09 PM,5:38 PM,5:39 PM,11:13 AM,11:14 AM,4:39 PM,4:40 PM,11:05 AM,11:06 AM,11:23 AM,11:24 AM
c192mHB,192,HB,7,5xFAD+,Acarbose,F,7,25.752,23.76,22.012,24.361,22.62,15.565,23.018,13.738,22.441,23.34,27.587,23.505,18.535,25.612,20.532,8.155,13.653,16.723,20.043,17.792,12.726,22.43,15.33,23.3,16.526,23.915,20.849,14.538,3312.197,2643.832,2065.222,3194.325,3983.4,3971.687,3367.748,2854.146,2680.14,3310.102,3184.433,2469.543,10.083,2691.989,1760.873,16.344,6.806,61.117,665.914,664.622,170.612,2745.407,2.387,1271.115,967.999,2259.722,964.862,111.571,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 10:16,7/21/2016 10:38,7/24/2016 10:36,7/27/2016 11:56,7/15/2016 13:11,7/15/2016 13:13,7/16/2016 10:35,7/16/2016 10:37,7/17/2016 16:51,7/17/2016 16:53,7/18/2016 17:24,7/18/2016 17:26,7/19/2016 17:27,7/19/2016 17:29,7/20/2016 12:24,7/20/2016 12:25,7/21/2016 16:35,7/21/2016 16:36,7/22/2016 15:40,7/22/2016 15:41,7/23/2016 8:52,7/23/2016 8:53,7/24/2016 14:48,7/24/2016 14:49,7/25/2016 11:37,7/25/2016 11:38,7/26/2016 12:55,7/26/2016 12:55,1542.203,1424.781,1319.781,1460.443,1355.774,932.098,1381.02,822.609,1344.417,1399.004,1654.579,1410.232,81.499,1534.464,821.132,69.931,98.013,153.282,445.28,455.379,188.1,1313.765,89.511,767.097,460.21,1023.187,557.207,189.754,59.937,59.884,59.997,59.879,59.91,59.941,59.976,59.996,4.397,59.913,39.992,8.575,7.179,9.166,22.216,25.594,14.781,58.571,5.839,32.923,27.847,42.785,26.726,13.052,10:16 AM,10:38 AM,10:36 AM,11:56 AM,1:11 PM,1:13 PM,10:35 AM,10:37 AM,4:51 PM,4:53 PM,5:24 PM,5:26 PM,5:27 PM,5:29 PM,12:24 PM,12:25 PM,4:35 PM,4:36 PM,3:40 PM,3:41 PM,8:52 AM,8:53 AM,2:48 PM,2:49 PM,11:37 AM,11:38 AM,12:55 PM,12:55 PM
c192mHL,192,HL,7,WT,Acarbose,F,7,25.77,23.134,23.028,24.349,23.392,18.307,24.791,19.77,23.449,13.209,27.325,19.502,25.092,21.75,16.892,11.991,22.839,9.414,9.024,24.147,4.456,16.123,27.021,24.607,14.395,20.542,10.265,23.752,3160.558,2165.273,1933.518,1817.386,3821.184,3934.616,2976.715,2363.892,1326.758,90.678,980.428,914.065,1092.706,1203.128,323.241,124.155,527.059,4.817,144.431,3356.654,25.424,133.085,1807.489,2114.594,272.176,266.56,32.26,770.121,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 10:15,7/21/2016 10:36,7/24/2016 10:34,7/27/2016 11:55,7/15/2016 13:07,7/15/2016 13:08,7/16/2016 10:31,7/16/2016 10:33,7/17/2016 16:49,7/17/2016 16:49,7/18/2016 17:20,7/18/2016 17:21,7/19/2016 17:02,7/19/2016 17:03,7/20/2016 12:22,7/20/2016 12:23,7/21/2016 16:34,7/21/2016 16:34,7/22/2016 15:37,7/22/2016 15:38,7/23/2016 8:50,7/23/2016 8:50,7/24/2016 14:45,7/24/2016 14:46,7/25/2016 11:34,7/25/2016 11:35,7/26/2016 12:52,7/26/2016 12:53,1543.581,1385.066,1378.662,1459.44,1403.468,1098.087,1486.439,1183.485,919.067,143.605,702.76,647.86,822.637,821.994,290.01,128.203,471.588,70.897,153.83,1446.012,87.125,221.995,1096.499,1234.351,255.882,263.383,73.063,690.67,59.997,59.983,59.959,59.863,39.195,10.872,25.719,33.22,32.785,37.792,17.168,10.692,20.648,7.531,17.046,59.884,19.551,13.769,40.58,50.162,17.776,12.822,7.118,29.079,10:15 AM,10:36 AM,10:34 AM,11:55 AM,1:07 PM,1:08 PM,10:31 AM,10:33 AM,4:49 PM,4:49 PM,5:20 PM,5:21 PM,5:02 PM,5:03 PM,12:22 PM,12:23 PM,4:34 PM,4:34 PM,3:37 PM,3:38 PM,8:50 AM,8:50 AM,2:45 PM,2:46 PM,11:34 AM,11:35 AM,12:52 PM,12:53 PM
c192mHR,192,HR,7,WT,Acarbose,F,7,19.209,20.211,17.721,17.217,14.068,15.669,16.193,16.212,16.098,12.691,19.778,15.419,10.226,20.005,13.336,16.836,6.154,18.969,4.321,16.776,3.541,15.454,10.52,7.903,6.691,5.586,15.083,13.099,2254.647,2500.458,1940.986,2155.505,3159.358,2518.405,2293.579,2542.507,2353.28,1667.747,2701.09,2174.886,10.786,2797.245,215.221,92.67,15.299,720.315,12.558,928.66,20.213,1272.456,16.758,3.852,12.194,23.155,1598.552,4.5,7/18/2016,7/21/2016,7/24/2016,7/27/2016,7/15/2016,7/15/2016,7/16/2016,7/16/2016,7/17/2016,7/17/2016,7/18/2016,7/18/2016,7/19/2016,7/19/2016,7/20/2016,7/20/2016,7/21/2016,7/21/2016,7/22/2016,7/22/2016,7/23/2016,7/23/2016,7/24/2016,7/24/2016,7/25/2016,7/25/2016,7/26/2016,7/26/2016,7/18/2016 10:13,7/21/2016 10:35,7/24/2016 10:32,7/27/2016 11:53,7/15/2016 13:02,7/15/2016 13:04,7/16/2016 10:27,7/16/2016 10:29,7/17/2016 16:45,7/17/2016 16:47,7/18/2016 17:17,7/18/2016 17:18,7/19/2016 16:59,7/19/2016 17:00,7/20/2016 12:20,7/20/2016 12:21,7/21/2016 16:31,7/21/2016 16:32,7/22/2016 15:34,7/22/2016 15:35,7/23/2016 8:47,7/23/2016 8:48,7/24/2016 14:43,7/24/2016 14:43,7/25/2016 11:32,7/25/2016 11:33,7/26/2016 12:51,7/26/2016 12:51,1151.221,1212.052,1060.872,1030.997,843.514,938.447,971.405,971.706,964.937,759.893,1184.986,910.545,97.614,1199.992,154.313,160.984,99.341,441.1,44.874,537.426,56.376,568.889,87.535,65.909,105.649,63.697,705.64,97.286,59.959,59.891,59.99,59.938,59.94,59.877,59.915,59.055,9.546,59.986,11.571,9.562,16.143,23.254,10.386,32.036,15.921,36.812,8.321,8.34,15.79,11.403,46.785,7.427,10:13 AM,10:35 AM,10:32 AM,11:53 AM,1:02 PM,1:04 PM,10:27 AM,10:29 AM,4:45 PM,4:47 PM,5:17 PM,5:18 PM,4:59 PM,5:00 PM,12:20 PM,12:21 PM,4:31 PM,4:32 PM,3:34 PM,3:35 PM,8:47 AM,8:48 AM,2:43 PM,2:43 PM,11:32 AM,11:33 AM,12:51 PM,12:51 PM
