trial_num,trial_type,protocol_day,new_suffix,protocol_time
1,spatial,1,_s_1,0
2,spatial,1,_s_2,60
3,spatial,1,_s_3,120
4,spatial,2,_s_4,86520
5,spatial,2,_s_5,86580
6,probe,2,_p_1,86640
7,spatial,3,_s_6,173040
8,spatial,3,_s_7,173100
9,spatial,3,_s_8,173160
10,spatial,4,_s_9,259560
11,spatial,4,_s_10,259620
12,probe,4,_p_2,259680
13,spatial,5,_s_11,346080
14,spatial,5,_s_12,346140
15,spatial,5,_s_13,346200
16,spatial,6,_s_14,432600
17,spatial,6,_s_15,432660
18,probe,6,_p_3,432720
19,spatial,7,_s_16,519120
20,spatial,7,_s_17,519180
21,spatial,7,_s_18,519240
22,spatial,8,_s_19,605640
23,spatial,8,_s_20,605700
24,probe,8,_p_4,605760
25,visible,9,_c_1,692160
26,visible,9,_c_2,692220
27,visible,9,_c_3,692280
28,visible,9,_c_4,692340
29,visible,9,_c_5,692400
30,visible,9,_c_6,692460
