Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,AQ TRR to End of Test; Duration (s),Base; Duration (s),AQ TRR to End of Test; Distance (m),Base; Distance (m),AQ TRR to End of Test; Mean speed (m/s),Base; Mean speed (m/s),AQ TRR to End of Test; Path efficiency,Base; Path efficiency,AQ TRR to End of Test; Platform : mean distance from (m),Base; Platform : mean distance from (m),AQ TRR to End of Test; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),AQ TRR to End of Test; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y842,AQ (Day1),1,2/7/2022,9:48,am,Raul,MWM Cohort 127 videos\Test 1.szv,54,30,15.48,9.508,0.287,0.317,0.036,0.066,0.841,0.899,45.16,26.98,0.036,,45.47
2,Y842,AQ (Day1),2,2/7/2022,9:50,am,Raul,MWM Cohort 127 videos\Test 16386.szv,1.8,5.2,0.667,1.415,0.375,0.273,0.854,0.683,0.302,0.707,0.43,3.42,0.917,0.665,1.78
3,Y842,AQ (Day1),3,2/7/2022,9:51,am,Raul,MWM Cohort 127 videos\Test 16387.szv,17.3,20.7,5.199,6.059,0.3,0.292,0.052,0.172,0.798,0.786,13.58,16.04,0.031,0.159,14.42
4,Y843,AQ (Day1),1,2/7/2022,9:55,am,Raul,MWM Cohort 127 videos\Test 16388.szv,87.7,30,13.09,3.885,0.149,0.13,0.016,0.273,0.727,0.694,63.78,20.83,,,63.99
5,Y843,AQ (Day1),2,2/7/2022,9:58,am,Raul,MWM Cohort 127 videos\Test 16389.szv,85,30,19.221,6.418,0.226,0.214,0.064,0.124,0.722,0.699,61.41,20.98,,,63.65
6,Y843,AQ (Day1),3,2/7/2022,10:00,am,Raul,MWM Cohort 127 videos\Test 16390.szv,85,30,18.478,6.648,0.217,0.222,0.071,0.203,0.731,0.686,62.15,20.59,,,64.53
7,Y844,AQ (Day1),1,2/7/2022,10:04,am,Raul,MWM Cohort 127 videos\Test 16391.szv,88.3,30,20.476,8.871,0.232,0.296,0.046,0.147,0.716,0.724,63.21,21.72,,,63.41
8,Y844,AQ (Day1),2,2/7/2022,10:07,am,Raul,MWM Cohort 127 videos\Test 16392.szv,36.3,30,9.846,8.492,0.271,0.283,0.093,0.088,0.685,0.69,24.64,20.71,0.086,,26.26
9,Y844,AQ (Day1),3,2/7/2022,10:08,am,Raul,MWM Cohort 127 videos\Test 16393.szv,15.5,18.7,3.538,4.464,0.228,0.239,0.086,0.234,0.573,0.589,8.68,10.8,0.058,0.207,8.95
10,Y845,AQ (Day1),1,2/7/2022,10:11,am,Raul,MWM Cohort 127 videos\Test 16394.szv,87.7,30,16.804,6.827,0.192,0.228,0.087,0.201,0.73,0.708,64.05,21.25,,,64.34
11,Y845,AQ (Day1),2,2/7/2022,10:14,am,Raul,MWM Cohort 127 videos\Test 16395.szv,11.5,16.2,0.549,1.214,0.048,0.075,0.785,0.776,0.096,0.245,1.08,3.88,0.616,0.727,-1.59
