Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Duration (s),Distance (m),Mean speed (m/s),Path efficiency,Platform : mean distance from (m),Platform : cumulative distance (m·s),Platform : path efficiency to entry,Platform : CIPL (m·s)
1,Y860,Cue,1,5/10/2022,9:49:,am,Raul,Cue Cohort 128 videos\Test 1.szv,23.7,2.339,0.099,0.415,0.520,12.30,,
2,Y860,Cue,2,5/10/2022,9:50:,am,Raul,Cue Cohort 128 videos\Test 16397.szv,4.4,0.489,0.112,0.947,0.246,0.99,0.945,0.09
3,Y860,Cue,3,5/10/2022,9:50:,am,Raul,Cue Cohort 128 videos\Test 16398.szv,5.5,0.621,0.114,0.845,0.291,1.50,0.859,0.37
4,Y860,Cue,4,5/10/2022,9:51:,am,Raul,Cue Cohort 128 videos\Test 16399.szv,7.0,1.293,0.184,0.919,0.644,4.31,0.897,0.92
5,Y860,Cue,5,5/10/2022,9:52:,am,Raul,Cue Cohort 128 videos\Test 16400.szv,5.9,1.134,0.192,0.993,0.573,3.18,0.988,0.23
6,Y860,Cue,6,5/10/2022,9:53:,am,Raul,Cue Cohort 128 videos\Test 16401.szv,7.4,1.342,0.180,0.829,0.614,4.36,0.803,1.25
7,Y861,Cue,1,5/10/2022,9:55:,am,Raul,Cue Cohort 128 videos\Test 16402.szv,26.8,4.571,0.171,0.210,0.540,14.46,,
8,Y861,Cue,2,5/10/2022,9:56:,am,Raul,Cue Cohort 128 videos\Test 16403.szv,30.0,6.225,0.208,0.220,0.637,19.11,,
9,Y861,Cue,3,5/10/2022,9:57:,am,Raul,Cue Cohort 128 videos\Test 16404.szv,18.1,2.690,0.148,0.197,0.383,6.82,0.186,5.98
10,Y861,Cue,4,5/10/2022,9:57:,am,Raul,Cue Cohort 128 videos\Test 16405.szv,30.0,5.854,0.195,0.083,0.820,24.60,,
11,Y861,Cue,5,5/10/2022,9:59:,am,Raul,Cue Cohort 128 videos\Test 16406.szv,30.0,6.387,0.213,0.165,0.873,26.20,,
12,Y861,Cue,6,5/10/2022,10:00,am,Raul,Cue Cohort 128 videos\Test 16407.szv,30.0,3.333,0.111,0.263,1.135,34.05,,
13,Y862,Cue,1,5/10/2022,10:02,am,Raul,Cue Cohort 128 videos\Test 16408.szv,12.3,0.933,0.076,0.957,0.467,5.73,,
14,Y862,Cue,2,5/10/2022,10:02,am,Raul,Cue Cohort 128 videos\Test 16409.szv,5.3,0.368,0.070,0.969,0.223,1.17,,
15,Y862,Cue,3,5/10/2022,10:03,am,Raul,Cue Cohort 128 videos\Test 16410.szv,5.5,0.783,0.143,0.660,0.335,1.73,0.665,0.82
16,Y862,Cue,4,5/10/2022,10:03,am,Raul,Cue Cohort 128 videos\Test 16411.szv,5.8,1.206,0.208,0.968,0.576,3.14,0.944,0.31
17,Y862,Cue,5,5/10/2022,10:04,am,Raul,Cue Cohort 128 videos\Test 16412.szv,7.1,1.156,0.163,0.909,0.436,2.95,0.907,-0.18
18,Y862,Cue,6,5/10/2022,10:05,am,Raul,Cue Cohort 128 videos\Test 16413.szv,6.1,1.382,0.225,0.846,0.666,3.86,0.833,1.16
19,3274,Cue,1,5/10/2022,10:07,am,Raul,Cue Cohort 128 videos\Test 16414.szv,7.6,1.189,0.156,0.829,0.537,3.97,0.827,1.05
20,3274,Cue,2,5/10/2022,10:08,am,Raul,Cue Cohort 128 videos\Test 16415.szv,4.3,0.391,0.091,0.963,0.244,1.05,,
21,3274,Cue,3,5/10/2022,10:08,am,Raul,Cue Cohort 128 videos\Test 16416.szv,5.3,0.767,0.145,0.715,0.321,1.58,0.666,0.70
22,3274,Cue,4,5/10/2022,10:09,am,Raul,Cue Cohort 128 videos\Test 16417.szv,17.4,3.135,0.180,0.355,0.612,10.67,,
23,3274,Cue,5,5/10/2022,10:10,am,Raul,Cue Cohort 128 videos\Test 16418.szv,16.6,3.130,0.188,0.349,0.729,11.84,0.340,8.83
24,3274,Cue,6,5/10/2022,10:11,am,Raul,Cue Cohort 128 videos\Test 16419.szv,18.6,3.393,0.182,0.323,0.766,14.25,,
25,3275,Cue,1,5/10/2022,10:13,am,Raul,Cue Cohort 128 videos\Test 16420.szv,5.6,1.369,0.245,0.727,0.492,2.57,0.691,0.82
26,3275,Cue,2,5/10/2022,10:13,am,Raul,Cue Cohort 128 videos\Test 16421.szv,3.6,0.424,0.117,0.937,0.208,0.62,0.920,0.01
27,3275,Cue,3,5/10/2022,10:14,am,Raul,Cue Cohort 128 videos\Test 16422.szv,5.0,0.962,0.193,0.646,0.322,1.49,0.533,0.83
28,3275,Cue,4,5/10/2022,10:14,am,Raul,Cue Cohort 128 videos\Test 16423.szv,6.3,1.181,0.188,0.965,0.448,2.81,,
29,3275,Cue,5,5/10/2022,10:15,am,Raul,Cue Cohort 128 videos\Test 16424.szv,5.7,1.141,0.199,0.940,0.507,2.90,,
30,3275,Cue,6,5/10/2022,10:16,am,Raul,Cue Cohort 128 videos\Test 16425.szv,5.1,1.057,0.209,0.992,0.580,2.73,0.989,0.21
31,3278,Cue,1,5/10/2022,10:18,am,Raul,Cue Cohort 128 videos\Test 16426.szv,9.7,1.026,0.105,0.966,0.437,4.25,,
32,3278,Cue,2,5/10/2022,10:18,am,Raul,Cue Cohort 128 videos\Test 16427.szv,18.0,2.147,0.119,0.316,0.424,7.62,,
33,3278,Cue,3,5/10/2022,10:19,am,Raul,Cue Cohort 128 videos\Test 16428.szv,15.9,1.883,0.118,0.276,0.342,5.43,,
34,3278,Cue,4,5/10/2022,10:20,am,Raul,Cue Cohort 128 videos\Test 16429.szv,30.0,5.144,0.171,0.277,0.740,22.20,,
35,3278,Cue,5,5/10/2022,10:22,am,Raul,Cue Cohort 128 videos\Test 16430.szv,9.8,1.247,0.127,0.815,0.645,6.33,,
36,3278,Cue,6,5/10/2022,10:22,am,Raul,Cue Cohort 128 videos\Test 16431.szv,30.0,4.278,0.143,0.170,0.914,27.41,,
37,3279,Cue,1,5/10/2022,10:25,am,Raul,Cue Cohort 128 videos\Test 16432.szv,5.2,1.133,0.219,0.895,0.493,2.55,,
38,3279,Cue,2,5/10/2022,10:25,am,Raul,Cue Cohort 128 videos\Test 16433.szv,2.7,0.440,0.164,0.980,0.281,0.65,0.964,0.13
39,3279,Cue,3,5/10/2022,10:26,am,Raul,Cue Cohort 128 videos\Test 16434.szv,5.5,0.983,0.179,0.568,0.361,1.84,0.523,1.10
40,3279,Cue,4,5/10/2022,10:26,am,Raul,Cue Cohort 128 videos\Test 16435.szv,4.2,0.958,0.229,0.989,0.515,1.98,0.975,0.09
41,3279,Cue,5,5/10/2022,10:27,am,Raul,Cue Cohort 128 videos\Test 16436.szv,4.9,1.097,0.222,0.944,0.552,2.54,0.943,0.30
42,3279,Cue,6,5/10/2022,10:28,am,Raul,Cue Cohort 128 videos\Test 16437.szv,4.3,0.957,0.224,0.984,0.539,2.11,0.981,0.19
