Test,Animal,Stage,Trial,Date,Time,Time of day,User,Recorded video file,Probe TRR to 30s; Duration (s),Base; Duration (s),Probe TRR to 30s; Distance (m),Base; Distance (m),Probe TRR to 30s; Mean speed (m/s),Base; Mean speed (m/s),Probe TRR to 30s; Path efficiency,Base; Path efficiency,Probe TRR to 30s; Platform : mean distance from (m),Base; Platform : mean distance from (m),Probe TRR to 30s; Platform : cumulative distance (m·s),Base; Platform : cumulative distance (m·s),Probe TRR to 30s; Platform : path efficiency to entry,Base; Platform : path efficiency to entry,Platform : CIPL (m·s)
42,Y875,Probe1 (Day2),1,7/6/2022,10:33,am,Liam,MWM - Cohort 130 videos\Test 42.szv,24.8,30,5.328,5.778,0.215,0.193,0.235,0.267,0.748,0.767,18.55,23,,,58.78
45,Y876,Probe1 (Day2),1,7/6/2022,10:42,am,Liam,MWM - Cohort 130 videos\Test 45.szv,25.7,30,6.12,6.777,0.238,0.226,0.113,0.005,0.547,0.573,14.05,17.2,,,
48,Y877,Probe1 (Day2),1,7/6/2022,10:50,am,Liam,MWM - Cohort 130 videos\Test 48.szv,24.7,30,4.436,5.409,0.18,0.18,0.038,0.145,0.431,0.489,10.65,14.68,,,
51,3304,Probe1 (Day2),1,7/6/2022,11:00,am,Liam,MWM - Cohort 130 videos\Test 51.szv,25.8,30,6.708,7.641,0.26,0.255,0.101,0.194,0.569,0.586,14.67,17.57,,,
54,3307,Probe1 (Day2),1,7/6/2022,11:08,am,Liam,MWM - Cohort 130 videos\Test 54.szv,24.9,30,5.639,6.621,0.226,0.221,0.065,0.163,0.686,0.698,17.09,20.93,,,
57,3309,Probe1 (Day2),1,7/6/2022,11:18,am,Liam,MWM - Cohort 130 videos\Test 57.szv,22.3,30,2.507,3.754,0.112,0.125,0.621,0.299,0.595,0.621,13.26,18.64,,,
60,3310,Probe1 (Day2),1,7/6/2022,11:28,am,Liam,MWM - Cohort 130 videos\Test 60.szv,24.1,30,4.779,5.723,0.198,0.191,0.145,0.146,0.621,0.638,14.55,18.72,0.207,0.293,9.26
63,Y878,Probe1 (Day2),1,7/6/2022,11:38,am,Liam,MWM - Cohort 130 videos\Test 63.szv,25.9,30,7.653,8.299,0.295,0.277,0.12,0.135,0.75,0.764,19.29,22.78,0.113,0.21,12.16
66,Y879,Probe1 (Day2),1,7/6/2022,11:47,am,Liam,MWM - Cohort 130 videos\Test 66.szv,26.1,30,7.051,8.177,0.27,0.273,0.052,0.177,0.441,0.456,10.86,12.92,,0.884,0.35
69,Y880,Probe1 (Day2),1,7/6/2022,12:09,pm,Liam,MWM - Cohort 130 videos\Test 69.szv,25.6,30,6.627,7.152,0.259,0.238,0.129,0.182,0.649,0.672,16.31,19.86,0.347,0.383,4.62
72,3316,Probe1 (Day2),1,7/6/2022,12:18,pm,Liam,MWM - Cohort 130 videos\Test 72.szv,24.8,30,5.511,6.702,0.222,0.223,0.186,0.233,0.807,0.827,20.01,24.82,,,
75,3317,Probe1 (Day2),1,7/6/2022,12:26,pm,Liam,MWM - Cohort 130 videos\Test 75.szv,24.1,30,3.966,5.512,0.165,0.184,0.213,0.253,0.746,0.711,17.98,21.33,,,
78,3318,Probe1 (Day2),1,7/6/2022,12:39,pm,Liam,MWM - Cohort 130 videos\Test 78.szv,25,30,5.544,6.621,0.222,0.221,0.18,0.026,0.746,0.737,18.64,22.11,,,
120,Y875,Probe2 (Day4),1,7/8/2022,10:43,am,Liam,MWM - Cohort 130 videos\Test 120.szv,24.3,30,4.196,5.101,0.173,0.17,0.18,0.034,0.626,0.671,15.22,20.13,,,
123,Y876,Probe2 (Day4),1,7/8/2022,10:50,am,Liam,MWM - Cohort 130 videos\Test 123.szv,25.1,30,5.182,5.587,0.206,0.186,0.196,0.121,0.666,0.706,16.32,20.75,0.317,0.349,10.03
126,Y877,Probe2 (Day4),1,7/8/2022,10:58,am,Liam,MWM - Cohort 130 videos\Test 126.szv,25.7,30,6.647,7.064,0.259,0.235,0.15,0.129,0.702,0.74,18.04,22.21,,,
129,3304,Probe2 (Day4),1,7/8/2022,11:06,am,Liam,MWM - Cohort 130 videos\Test 129.szv,25.7,30,5.692,6.76,0.221,0.225,0.052,0.088,0.816,0.808,20.98,24.23,,,
132,3307,Probe2 (Day4),1,7/8/2022,11:13,am,Liam,MWM - Cohort 130 videos\Test 132.szv,24.6,30,6.087,7.115,0.247,0.237,0.056,0.064,0.828,0.81,20.38,24.31,,,53.16
135,3309,Probe2 (Day4),1,7/8/2022,11:23,am,Liam,MWM - Cohort 130 videos\Test 135.szv,23.6,30,4.728,5.692,0.2,0.19,0.17,0.284,0.562,0.645,13.27,19.34,,,
138,3310,Probe2 (Day4),1,7/8/2022,11:33,am,Liam,MWM - Cohort 130 videos\Test 138.szv,23.4,30,4.134,5.041,0.177,0.168,0.297,0.118,0.498,0.601,11.51,17.84,0.333,0.278,8.3
141,Y878,Probe2 (Day4),1,7/8/2022,11:41,am,Liam,MWM - Cohort 130 videos\Test 141.szv,25.5,30,6.962,7.353,0.273,0.245,0.131,0.152,0.569,0.635,14.26,18.78,0.571,0.555,4.76
144,Y879,Probe2 (Day4),1,7/8/2022,11:48,am,Liam,MWM - Cohort 130 videos\Test 144.szv,26.3,30,7.718,8.442,0.293,0.281,0.069,0.138,0.595,0.631,15.42,18.68,0.342,0.376,4.72
147,Y880,Probe2 (Day4),1,7/8/2022,11:56,am,Liam,MWM - Cohort 130 videos\Test 147.szv,25.4,30,6.484,7.269,0.255,0.242,0.162,0.168,0.581,0.647,14.77,19.42,,,33.51
150,3316,Probe2 (Day4),1,7/8/2022,12:04,pm,Liam,MWM - Cohort 130 videos\Test 150.szv,21.8,30,3.966,5.105,0.182,0.17,0.201,0.065,0.699,0.756,15.24,22.69,,,
153,3317,Probe2 (Day4),1,7/8/2022,12:11,pm,Liam,MWM - Cohort 130 videos\Test 153.szv,25,30,5.485,6.525,0.219,0.217,0.144,0.158,0.581,0.619,14.35,18.38,0.79,0.719,1.86
156,3318,Probe2 (Day4),1,7/8/2022,12:19,pm,Liam,MWM - Cohort 130 videos\Test 156.szv,24.2,30,5.559,6.297,0.23,0.21,0.108,0.122,0.757,0.815,18.31,24.46,,,
198,Y875,Probe3 (Day6),1,7/10/2022,11:43,am,Liam,MWM - Cohort 130 videos\Test 198.szv,27.5,30,6.785,6.991,0.247,0.233,0.167,0.191,0.661,0.649,18.19,19.46,,,29.88
201,Y876,Probe3 (Day6),1,7/10/2022,11:49,am,Liam,MWM - Cohort 130 videos\Test 201.szv,27.3,30,6.644,6.961,0.243,0.232,0.014,0.066,0.508,0.499,13.87,14.96,,,22.68
204,Y877,Probe3 (Day6),1,7/10/2022,11:57,am,Liam,MWM - Cohort 130 videos\Test 204.szv,27.4,30,6.63,6.84,0.242,0.228,0.08,0.095,0.555,0.549,15.13,16.39,0.062,0.078,15.74
207,3304,Probe3 (Day6),1,7/10/2022,12:04,pm,Liam,MWM - Cohort 130 videos\Test 207.szv,28,30,6.396,6.753,0.228,0.225,0.102,0.149,0.481,0.474,13.46,14.23,,,
210,3307,Probe3 (Day6),1,7/10/2022,12:13,pm,Liam,MWM - Cohort 130 videos\Test 210.szv,27.3,30,5.246,5.578,0.192,0.186,0.195,0.241,0.625,0.601,16.42,17.4,0.077,0.177,6.74
213,3309,Probe3 (Day6),1,7/10/2022,12:21,pm,Liam,MWM - Cohort 130 videos\Test 213.szv,27.2,30,5.692,6.047,0.209,0.202,0.087,0.021,0.512,0.517,13.7,15.27,0.127,0.102,13.6
216,3310,Probe3 (Day6),1,7/10/2022,12:31,pm,Liam,MWM - Cohort 130 videos\Test 216.szv,26.4,30,4.432,4.897,0.168,0.163,0.074,0.156,0.664,0.644,17.53,19.32,,,26.98
219,Y878,Probe3 (Day6),1,7/10/2022,12:38,pm,Liam,MWM - Cohort 130 videos\Test 219.szv,27.6,30,6.525,6.696,0.236,0.223,0.042,0.041,0.667,0.648,18.41,19.43,,,19.26
222,Y879,Probe3 (Day6),1,7/10/2022,12:44,pm,Liam,MWM - Cohort 130 videos\Test 222.szv,27.9,30,8.491,8.958,0.304,0.299,0.142,0.164,0.634,0.629,17.59,18.77,0.116,0.1,10.85
225,Y880,Probe3 (Day6),1,7/10/2022,12:50,pm,Liam,MWM - Cohort 130 videos\Test 225.szv,27.6,30,7.63,7.841,0.276,0.261,0.127,0.12,0.639,0.633,17.53,18.87,0.188,0.155,6.88
228,3316,Probe3 (Day6),1,7/10/2022,12:57,pm,Liam,MWM - Cohort 130 videos\Test 228.szv,27.3,30,5.579,6.145,0.204,0.205,0.114,0.179,0.692,0.68,18.89,20.4,,,36.19
231,3317,Probe3 (Day6),1,7/10/2022,13:03,pm,Liam,MWM - Cohort 130 videos\Test 231.szv,25.8,30,4.121,4.461,0.16,0.149,0.053,0.074,0.409,0.418,10.55,12.55,,,18.22
234,3318,Probe3 (Day6),1,7/10/2022,13:10,pm,Liam,MWM - Cohort 130 videos\Test 234.szv,27.2,30,5.808,6.139,0.214,0.205,0.093,0.134,0.723,0.71,19.66,21.3,,,52.48
276,Y875,Probe4 (Day8),1,7/12/2022,10:55,am,Liam,MWM - Cohort 130 videos\Test 276.szv,27.3,30,5.987,6.32,0.219,0.211,0.106,0.16,0.758,0.724,20.18,21.24,0.112,0.128,11.45
279,Y876,Probe4 (Day8),1,7/12/2022,11:01,am,Liam,MWM - Cohort 130 videos\Test 279.szv,27.7,30,6.418,6.626,0.232,0.221,0.177,0.204,0.45,0.454,12.24,13.38,0.96,0.696,0.81
282,Y877,Probe4 (Day8),1,7/12/2022,11:07,am,Liam,MWM - Cohort 130 videos\Test 282.szv,27.6,30,6.158,6.487,0.223,0.216,0.088,0.134,0.649,0.628,17.54,18.47,0.048,0.127,9.12
285,3304,Probe4 (Day8),1,7/12/2022,11:14,am,Liam,MWM - Cohort 130 videos\Test 285.szv,27.9,30,6.832,7.187,0.245,0.24,0.203,0.202,0.693,0.672,18.97,19.81,0.065,0.091,12.68
288,3307,Probe4 (Day8),1,7/12/2022,11:21,am,Liam,MWM - Cohort 130 videos\Test 288.szv,26.5,30,3.836,4.061,0.145,0.135,0.267,0.193,0.636,0.62,16.87,18.61,,,
291,3309,Probe4 (Day8),1,7/12/2022,11:28,am,Liam,MWM - Cohort 130 videos\Test 291.szv,27.4,30,5.887,6.369,0.215,0.212,0.16,0.19,0.563,0.541,15.44,16.23,,,
294,3310,Probe4 (Day8),1,7/12/2022,11:35,am,Liam,MWM - Cohort 130 videos\Test 294.szv,27,30,4.909,5.455,0.182,0.182,0.171,0.223,0.666,0.631,17.99,18.93,,,
297,Y878,Probe4 (Day8),1,7/12/2022,11:42,am,Liam,MWM - Cohort 130 videos\Test 297.szv,27.8,30,5.486,5.903,0.197,0.197,0.024,0.072,0.612,0.599,17.01,17.97,,,
300,Y879,Probe4 (Day8),1,7/12/2022,11:50,am,Liam,MWM - Cohort 130 videos\Test 300.szv,28,30,7.296,7.726,0.261,0.258,0.091,0.099,0.671,0.647,18.6,19.19,,0.978,0.13
303,Y880,Probe4 (Day8),1,7/12/2022,11:57,am,Liam,MWM - Cohort 130 videos\Test 303.szv,28.3,30,9.227,9.562,0.326,0.319,0.1,0.134,0.545,0.534,15.42,16.03,,,33.34
306,3316,Probe4 (Day8),1,7/12/2022,12:04,pm,Liam,MWM - Cohort 130 videos\Test 306.szv,27.5,30,5.964,6.308,0.217,0.21,0.143,0.079,0.69,0.676,18.98,20.28,,,
309,3317,Probe4 (Day8),1,7/12/2022,12:11,pm,Liam,MWM - Cohort 130 videos\Test 309.szv,27.7,30,4.883,5.393,0.176,0.18,0.18,0.176,0.564,0.551,15.62,16.54,,,26.46
312,3318,Probe4 (Day8),1,7/12/2022,12:18,pm,Liam,MWM - Cohort 130 videos\Test 312.szv,27.4,30,5.528,5.756,0.202,0.192,0.068,0.12,0.538,0.521,14.5,15.39,0.138,0.335,1.31
